,t_HAF,k_txn2,k_dHAF,k_bHS,k_bHH,k_txnH,k_dH1R,k_dH1P,k_dHP,k_txnBH,x,exp_data,exp_error,dataID,weight_by_error,parameter_labels,chi_sq,normalized solutions
0,0.0,1.0,0.0,0.0,67.17468911141692,0.002293005927216268,0.00036867194850239706,0.017535053964880778,2.7120692420343127e-05,4.691818013018539,"[6.6, 138.0]","[0.052837046, 0.679629743, 1.164497893, 1.478465701, 1.624569617, 0.081864133, 0.101705031, 1.566387127, 2.480004081, 2.166049407, 1.92634939, 1.866111762, 0.149729537, 0.04500414, 0.926744518, 2.414784455, 2.338987126, 2.124661812, 2.045072649, 0.066713479]","[0.001597254, 0.028900062, 0.06262351, 0.041363395, 0.034096022, 0.001875823, 0.001931056, 0.133806646, 0.126221831, 0.293177079, 0.110612379, 0.195402763, 0.005887058, 0.001584752, 0.02233973, 0.215544881, 0.079719995, 0.106426454, 0.21939885, 0.001540545]",hypoxia_only,no,"['t_HAF', 'k_txn2', 'k_dHAF', 'k_bHS', 'k_bHH', 'k_txnH', 'k_dH1R', 'k_dH1P', 'k_dHP', 'k_txnBH']",1932556821779040.8,"[0.9968032176913644, 0.9992264931288241, 1.0007081350265603, 1.0014469182993817, 1.0018152358538701, 0.9968032176913644, 16497325.605797548, 16590879.642340278, 16649571.6998547, 16678840.67000705, 16693433.683425944, 16700708.964333894, 16497325.605797548, 1.0337538239480017, 1.0361136368721382, 1.0375567634557286, 1.0382763302022944, 1.0386350841129643, 1.038813952426373, 1.0337538239480017]"
1,0.0,1.0,0.0,0.0,0.019152673946756495,109.27743946864112,0.18819506390008556,0.0021510575457670176,0.00017776974435625877,3.4960024023711886,"[6.6, 138.0]","[0.052837046, 0.679629743, 1.164497893, 1.478465701, 1.624569617, 0.081864133, 0.101705031, 1.566387127, 2.480004081, 2.166049407, 1.92634939, 1.866111762, 0.149729537, 0.04500414, 0.926744518, 2.414784455, 2.338987126, 2.124661812, 2.045072649, 0.066713479]","[0.001597254, 0.028900062, 0.06262351, 0.041363395, 0.034096022, 0.001875823, 0.001931056, 0.133806646, 0.126221831, 0.293177079, 0.110612379, 0.195402763, 0.005887058, 0.001584752, 0.02233973, 0.215544881, 0.079719995, 0.106426454, 0.21939885, 0.001540545]",hypoxia_only,no,"['t_HAF', 'k_txn2', 'k_dHAF', 'k_bHS', 'k_bHH', 'k_txnH', 'k_dH1R', 'k_dH1P', 'k_dHP', 'k_txnBH']",23.2862,"[0.9749638483944859, 0.9944018452704632, 1.0055727531271326, 1.011142348859289, 1.0139192043486294, 0.9749638483944859, 2.5089511333311942, 2.5864007395128317, 2.633361412576213, 2.656775888918064, 2.668449746320457, 2.6742700461386195, 2.5089511333311942, 1.0927934792496015, 1.1166150622264084, 1.1311870372562154, 1.138453754727889, 1.1420767357939459, 1.143883059576805, 1.0927934792496015]"
2,0.0,1.0,0.0,0.0,0.00020983678231484913,4.301059901099192,0.0024479327051494396,0.0012479442263042028,0.000686111471815834,18.056992105757626,"[6.6, 138.0]","[0.052837046, 0.679629743, 1.164497893, 1.478465701, 1.624569617, 0.081864133, 0.101705031, 1.566387127, 2.480004081, 2.166049407, 1.92634939, 1.866111762, 0.149729537, 0.04500414, 0.926744518, 2.414784455, 2.338987126, 2.124661812, 2.045072649, 0.066713479]","[0.001597254, 0.028900062, 0.06262351, 0.041363395, 0.034096022, 0.001875823, 0.001931056, 0.133806646, 0.126221831, 0.293177079, 0.110612379, 0.195402763, 0.005887058, 0.001584752, 0.02233973, 0.215544881, 0.079719995, 0.106426454, 0.21939885, 0.001540545]",hypoxia_only,no,"['t_HAF', 'k_txn2', 'k_dHAF', 'k_bHS', 'k_bHH', 'k_txnH', 'k_dH1R', 'k_dH1P', 'k_dHP', 'k_txnBH']",966389269.5077,"[0.8692311472828157, 0.9684855505817321, 1.0289748788054918, 1.0591355290442193, 1.0741728942857407, 0.8692311472828157, 10148.599026208363, 11403.155139644168, 12155.450430142446, 12530.535925944781, 12717.54430397753, 12810.782218047794, 10148.599026208363, 0.8775383031700458, 0.9785365704408, 1.0405220056945044, 1.0714307237493292, 1.0868410500077492, 1.094524267520772, 0.8775383031700458]"
3,0.0,1.0,0.0,0.0,4.1552848953966555,146.00952582475423,0.0429882077450277,8.536185031519329,0.0798599343145847,1.8891199101488731,"[6.6, 138.0]","[0.052837046, 0.679629743, 1.164497893, 1.478465701, 1.624569617, 0.081864133, 0.101705031, 1.566387127, 2.480004081, 2.166049407, 1.92634939, 1.866111762, 0.149729537, 0.04500414, 0.926744518, 2.414784455, 2.338987126, 2.124661812, 2.045072649, 0.066713479]","[0.001597254, 0.028900062, 0.06262351, 0.041363395, 0.034096022, 0.001875823, 0.001931056, 0.133806646, 0.126221831, 0.293177079, 0.110612379, 0.195402763, 0.005887058, 0.001584752, 0.02233973, 0.215544881, 0.079719995, 0.106426454, 0.21939885, 0.001540545]",hypoxia_only,no,"['t_HAF', 'k_txn2', 'k_dHAF', 'k_bHS', 'k_bHH', 'k_txnH', 'k_dH1R', 'k_dH1P', 'k_dHP', 'k_txnBH']",5.7144,"[0.4771816362552927, 0.8796249902875709, 1.1161726899945552, 1.2341100041346658, 1.292910679327915, 0.4771816362552927, 0.49227870259592926, 0.9540385910063308, 1.226374082537782, 1.3621544139598645, 1.4298511893038146, 1.4636031951236188, 0.49227870259592926, 0.7062188827888833, 1.309332758457721, 1.6524533115037676, 1.8235247860448216, 1.9088168815301751, 1.9513414852736488, 0.7062188827888833]"
4,0.0,1.0,0.0,0.0,0.0008752701516624251,0.0025386709494657953,0.19500416856520705,0.9357671001734937,0.07743841162380809,33.284679033785096,"[6.6, 138.0]","[0.052837046, 0.679629743, 1.164497893, 1.478465701, 1.624569617, 0.081864133, 0.101705031, 1.566387127, 2.480004081, 2.166049407, 1.92634939, 1.866111762, 0.149729537, 0.04500414, 0.926744518, 2.414784455, 2.338987126, 2.124661812, 2.045072649, 0.066713479]","[0.001597254, 0.028900062, 0.06262351, 0.041363395, 0.034096022, 0.001875823, 0.001931056, 0.133806646, 0.126221831, 0.293177079, 0.110612379, 0.195402763, 0.005887058, 0.001584752, 0.02233973, 0.215544881, 0.079719995, 0.106426454, 0.21939885, 0.001540545]",hypoxia_only,no,"['t_HAF', 'k_txn2', 'k_dHAF', 'k_bHS', 'k_bHH', 'k_txnH', 'k_dH1R', 'k_dH1P', 'k_dHP', 'k_txnBH']",1288639574531.213,"[0.22955113153601564, 0.8471781227309931, 1.1726195327027062, 1.3348768213714417, 1.4157743916588434, 0.22955113153601564, 2748.4897885883424, 298841.94687861623, 459767.3759164121, 540000.8758190805, 580003.3439667308, 599947.6003254682, 2748.4897885883424, 0.23023307828413062, 0.8742634717789927, 1.2184335639566972, 1.3900316354973856, 1.4755862127410482, 1.5182417401466504, 0.23023307828413062]"
5,0.0,1.0,0.0,0.0,0.08169610167473541,0.003624836163140004,0.0003512339056147936,0.5953265165137538,5.310176355559585e-05,59.75043454829961,"[6.6, 138.0]","[0.052837046, 0.679629743, 1.164497893, 1.478465701, 1.624569617, 0.081864133, 0.101705031, 1.566387127, 2.480004081, 2.166049407, 1.92634939, 1.866111762, 0.149729537, 0.04500414, 0.926744518, 2.414784455, 2.338987126, 2.124661812, 2.045072649, 0.066713479]","[0.001597254, 0.028900062, 0.06262351, 0.041363395, 0.034096022, 0.001875823, 0.001931056, 0.133806646, 0.126221831, 0.293177079, 0.110612379, 0.195402763, 0.005887058, 0.001584752, 0.02233973, 0.215544881, 0.079719995, 0.106426454, 0.21939885, 0.001540545]",hypoxia_only,no,"['t_HAF', 'k_txn2', 'k_dHAF', 'k_bHS', 'k_bHH', 'k_txnH', 'k_dH1R', 'k_dH1P', 'k_dHP', 'k_txnBH']",3.72827148492257e+17,"[0.9935158293679426, 0.9983945650237288, 1.0014341596873348, 1.002949884480141, 1.003705561440853, 0.9935158293679426, 229465730.54503825, 230553559.35204196, 231170335.8248371, 231477866.9543263, 231631193.92028067, 231707637.90916133, 229465730.54503825, 3.328766618539385, 3.34438625706945, 3.354092376291006, 3.358932965146284, 3.361346302101995, 3.362549516372786, 3.328766618539385]"
6,0.0,1.0,0.0,0.0,5.0970306556801015,0.009312006449287289,0.0008181018984456449,0.006831032752702874,5.005405724479505,1.6853292164838363,"[6.6, 138.0]","[0.052837046, 0.679629743, 1.164497893, 1.478465701, 1.624569617, 0.081864133, 0.101705031, 1.566387127, 2.480004081, 2.166049407, 1.92634939, 1.866111762, 0.149729537, 0.04500414, 0.926744518, 2.414784455, 2.338987126, 2.124661812, 2.045072649, 0.066713479]","[0.001597254, 0.028900062, 0.06262351, 0.041363395, 0.034096022, 0.001875823, 0.001931056, 0.133806646, 0.126221831, 0.293177079, 0.110612379, 0.195402763, 0.005887058, 0.001584752, 0.02233973, 0.215544881, 0.079719995, 0.106426454, 0.21939885, 0.001540545]",hypoxia_only,no,"['t_HAF', 'k_txn2', 'k_dHAF', 'k_bHS', 'k_bHH', 'k_txnH', 'k_dH1R', 'k_dH1P', 'k_dHP', 'k_txnBH']",4.3356,"[0.0979532669456983, 0.7904492472943498, 1.200328635225321, 1.4046896699177798, 1.5065791806168511, 0.0979532669456983, 0.09804181171887348, 0.8044235266837033, 1.2226538084981884, 1.431178474896624, 1.5351437958580327, 1.5869783822774353, 0.09804181171887348, 0.0993037527035696, 0.944103922520673, 1.4664763252210355, 1.7269655333513094, 1.8568391187077067, 1.9215909325218046, 0.0993037527035696]"
7,0.0,1.0,0.0,0.0,0.00017128645599576663,5.906078451500236,0.08745276140108403,0.07912689984916021,0.00029379043405788186,0.05434887591143809,"[6.6, 138.0]","[0.052837046, 0.679629743, 1.164497893, 1.478465701, 1.624569617, 0.081864133, 0.101705031, 1.566387127, 2.480004081, 2.166049407, 1.92634939, 1.866111762, 0.149729537, 0.04500414, 0.926744518, 2.414784455, 2.338987126, 2.124661812, 2.045072649, 0.066713479]","[0.001597254, 0.028900062, 0.06262351, 0.041363395, 0.034096022, 0.001875823, 0.001931056, 0.133806646, 0.126221831, 0.293177079, 0.110612379, 0.195402763, 0.005887058, 0.001584752, 0.02233973, 0.215544881, 0.079719995, 0.106426454, 0.21939885, 0.001540545]",hypoxia_only,no,"['t_HAF', 'k_txn2', 'k_dHAF', 'k_bHS', 'k_bHH', 'k_txnH', 'k_dH1R', 'k_dH1P', 'k_dHP', 'k_txnBH']",16.1961,"[0.9520541792189411, 0.9890887084731201, 1.010661145745523, 1.0214167589130556, 1.0267792076493603, 0.9520541792189411, 0.9900046018709387, 1.0299503292620797, 1.053377209098009, 1.065057358206583, 1.0708807785282137, 1.0737841858323487, 0.9900046018709387, 0.9520813326267031, 0.9891181706015869, 1.01069253091735, 1.0214490199650779, 1.026811907898323, 1.0294857150225298, 0.9520813326267031]"
8,0.0,1.0,0.0,0.0,0.11343331455011903,35.252443727015454,0.0007266653935531372,0.0006310431556655076,0.5328122352177278,0.25308390171856376,"[6.6, 138.0]","[0.052837046, 0.679629743, 1.164497893, 1.478465701, 1.624569617, 0.081864133, 0.101705031, 1.566387127, 2.480004081, 2.166049407, 1.92634939, 1.866111762, 0.149729537, 0.04500414, 0.926744518, 2.414784455, 2.338987126, 2.124661812, 2.045072649, 0.066713479]","[0.001597254, 0.028900062, 0.06262351, 0.041363395, 0.034096022, 0.001875823, 0.001931056, 0.133806646, 0.126221831, 0.293177079, 0.110612379, 0.195402763, 0.005887058, 0.001584752, 0.02233973, 0.215544881, 0.079719995, 0.106426454, 0.21939885, 0.001540545]",hypoxia_only,no,"['t_HAF', 'k_txn2', 'k_dHAF', 'k_bHS', 'k_bHH', 'k_txnH', 'k_dH1R', 'k_dH1P', 'k_dHP', 'k_txnBH']",5.8405,"[0.08470579057483879, 0.8118998268367981, 1.2046913167021698, 1.4005310658731713, 1.4981720000130223, 0.08470579057483879, 0.08481340085409257, 0.8306698683870616, 1.2339032646533385, 1.4349492255229146, 1.5351858312693023, 1.5851613717644994, 0.08481340085409257, 0.0847425065775868, 0.8171450313926467, 1.2134339597044694, 1.411017920146288, 1.5095284681823329, 1.5586434231284862, 0.0847425065775868]"
9,0.0,1.0,0.0,0.0,0.0005352375124271657,377.0172934707651,0.004901273599192942,0.360210901974919,1.5412323244530017e-05,197.21716727833737,"[6.6, 138.0]","[0.052837046, 0.679629743, 1.164497893, 1.478465701, 1.624569617, 0.081864133, 0.101705031, 1.566387127, 2.480004081, 2.166049407, 1.92634939, 1.866111762, 0.149729537, 0.04500414, 0.926744518, 2.414784455, 2.338987126, 2.124661812, 2.045072649, 0.066713479]","[0.001597254, 0.028900062, 0.06262351, 0.041363395, 0.034096022, 0.001875823, 0.001931056, 0.133806646, 0.126221831, 0.293177079, 0.110612379, 0.195402763, 0.005887058, 0.001584752, 0.02233973, 0.215544881, 0.079719995, 0.106426454, 0.21939885, 0.001540545]",hypoxia_only,no,"['t_HAF', 'k_txn2', 'k_dHAF', 'k_bHS', 'k_bHH', 'k_txnH', 'k_dH1R', 'k_dH1P', 'k_dHP', 'k_txnBH']",5110771.0436,"[0.9984746448047204, 0.9996796306353595, 1.0003407252026928, 1.0006703328324997, 1.000834666524728, 0.9984746448047204, 854.5606622518201, 855.7129246729338, 856.3371555171943, 856.6483916101737, 856.8035514469692, 856.880910928942, 854.5606622518201, 1.4482354759154679, 1.4510595486097702, 1.4530843654575767, 1.4541026547723848, 1.4546104704663767, 1.4548636552160312, 1.4482354759154679]"
