,fixed e,fixed e ppl,fixed e all parameters
0,12.749672874999996,12.856,"[12.74967, 1, 1, 537.44253, 103.2889, 1.937]"
1,12.939966499999997,10.636,"[12.93997, 1, 1, 541.02202, 102.98072, 1.93789]"
2,13.130260124999998,8.666,"[13.13026, 1, 1, 546.25905, 103.79637, 1.95478]"
3,13.320553749999998,6.983,"[13.32055, 1, 1, 543.96071, 103.90014, 1.98811]"
4,13.510847374999999,5.503,"[13.51085, 1, 1, 545.03159, 103.68515, 1.9752]"
5,13.701141,4.284,"[13.70114, 1, 1, 555.40292, 104.12192, 1.98721]"
6,14.08172825,2.503,"[14.08173, 1, 1, 563.05723, 104.38772, 1.99869]"
7,14.462315499999999,1.457,"[14.46232, 1, 1, 571.82805, 104.6164, 2.01068]"
8,15.22349,0.784,"[15.22349, 1, 1, 585.27583, 105.02814, 2.03687]"
9,15.22349,0.784,"[15.22349, 1, 1, 585.27583, 105.02814, 2.03687]"
10,15.984664500000001,1.463,"[15.98466, 1, 1, 601.8481, 105.342, 2.07554]"
11,16.745839,3.509,"[16.74584, 1, 1, 610.7179, 105.55134, 2.07397]"
12,17.12642625,5.055,"[17.12643, 1, 1, 622.35543, 106.1985, 2.11165]"
13,17.507013500000003,6.979,"[17.50701, 1, 1, 603.52098, 105.6971, 2.11148]"
14,17.887600750000004,9.246,"[17.8876, 1, 1, 627.13015, 106.45622, 2.14694]"
15,18.077894375000003,10.512,"[18.07789, 1, 1, 630.7611, 106.16551, 2.14053]"
16,18.268188000000002,11.88,"[18.26819, 1, 1, 639.54061, 106.64938, 2.15626]"
17,18.420422900000002,13.066,"[18.42042, 1, 1, 660.07811, 106.47395, 2.19051]"
