,fixed km,fixed km ppl,fixed km all parameters
0,78.771105,12.79,"[14.9756, 1, 1, 353.06602, 78.77111, 1.89387]"
1,80.08395675,11.52,"[14.98454, 1, 1, 362.87263, 80.08396, 1.90722]"
2,81.39680849999999,10.332,"[15.00278, 1, 1, 366.83238, 81.39681, 1.91763]"
3,84.02251199999999,8.19,"[15.03389, 1, 1, 386.77923, 84.02251, 1.9353]"
4,86.64821549999999,6.349,"[15.05709, 1, 1, 403.10942, 86.64822, 1.95486]"
5,89.27391899999999,4.796,"[15.10408, 1, 1, 426.59341, 89.27392, 1.97285]"
6,94.52532599999999,2.499,"[15.14755, 1, 1, 472.49653, 94.52533, 1.99796]"
7,105.02814,0.784,"[15.22349, 1, 1, 585.27583, 105.02814, 2.03687]"
8,105.02814,0.784,"[15.22349, 1, 1, 585.27583, 105.02814, 2.03687]"
9,115.530954,2.248,"[15.27839, 1, 1, 720.25461, 115.53095, 2.05069]"
10,120.782361,3.94,"[15.25523, 1, 1, 792.16197, 120.78236, 2.05088]"
11,126.033768,6.162,"[15.28509, 1, 1, 874.60513, 126.03377, 2.05356]"
12,128.6594715,7.448,"[15.31578, 1, 1, 904.78628, 128.65947, 2.0468]"
13,131.28517499999998,8.84,"[15.27943, 1, 1, 955.68945, 131.28517, 2.04019]"
14,133.91087849999997,10.328,"[15.30574, 1, 1, 992.14965, 133.91088, 2.0391]"
15,136.53658199999995,11.906,"[15.31075, 1, 1, 1037.02839, 136.53658, 2.03375]"
16,137.84943374999995,12.726,"[15.3234, 1, 1, 1053.6332, 137.84943, 2.03138]"
