,fixed m,fixed m ppl,fixed m all parameters
0,212.16248837499995,12.637,"[14.80885, 1, 1, 212.16249, 88.24214, 1.89633]"
1,219.47843624999996,11.768,"[14.83355, 1, 1, 219.47844, 88.84396, 1.9016]"
2,234.11033199999997,10.22,"[14.8633, 1, 1, 234.11033, 90.12694, 1.91243]"
3,248.74222774999998,8.89,"[14.89004, 1, 1, 248.74223, 91.29098, 1.92238]"
4,263.3741235,7.742,"[14.9184, 1, 1, 263.37412, 92.35783, 1.93256]"
5,292.637915,5.886,"[14.96685, 1, 1, 292.63792, 94.28013, 1.94959]"
6,321.90170650000005,4.484,"[15.00736, 1, 1, 321.90171, 96.0168, 1.96575]"
7,351.16549800000007,3.421,"[15.04923, 1, 1, 351.1655, 97.45907, 1.97966]"
8,468.22066400000006,1.244,"[15.15568, 1, 1, 468.22066, 101.98885, 2.01831]"
9,585.27583,0.784,"[15.22349, 1, 1, 585.27583, 105.02814, 2.03687]"
10,585.27583,0.784,"[15.22349, 1, 1, 585.27583, 105.02814, 2.03687]"
11,936.4413280000001,2.129,"[15.24082, 1, 1, 936.44133, 107.9148, 1.98726]"
12,1287.6068260000002,3.511,"[15.21641, 1, 1, 1287.60683, 107.31219, 1.91946]"
13,1638.7723240000003,4.389,"[15.17886, 1, 1, 1638.77232, 106.55814, 1.88074]"
14,1989.9378220000003,4.973,"[15.165, 1, 1, 1989.93782, 105.99863, 1.85841]"
15,2341.10332,5.385,"[15.15604, 1, 1, 2341.10332, 105.61812, 1.84342]"
16,2692.2688180000005,5.691,"[15.14809, 1, 1, 2692.26882, 105.28998, 1.8342]"
17,3043.4343160000008,5.927,"[15.13952, 1, 1, 3043.43432, 105.14354, 1.8256]"
18,3394.599814000001,6.115,"[15.13533, 1, 1, 3394.59981, 104.98101, 1.81873]"
19,3745.7653120000014,6.267,"[15.13126, 1, 1, 3745.76531, 104.88799, 1.81505]"
20,4096.930810000002,6.393,"[15.13667, 1, 1, 4096.93081, 104.77742, 1.81135]"
21,4448.096308000002,6.5,"[15.12536, 1, 1, 4448.09631, 104.68919, 1.80818]"
22,4799.261806000002,6.591,"[15.12518, 1, 1, 4799.26181, 104.59354, 1.80513]"
23,5150.427304000003,6.669,"[15.12336, 1, 1, 5150.4273, 104.53348, 1.80256]"
24,5501.592802000003,6.738,"[15.12399, 1, 1, 5501.5928, 104.48753, 1.80063]"
25,5852.758300000003,6.798,"[15.12214, 1, 1, 5852.7583, 104.40426, 1.79944]"
26,6203.923798000003,6.851,"[15.11825, 1, 1, 6203.9238, 104.34793, 1.79758]"
27,6555.089296000004,6.899,"[15.11779, 1, 1, 6555.0893, 104.33336, 1.79615]"
28,6906.254794000004,6.942,"[15.11947, 1, 1, 6906.25479, 104.28729, 1.79501]"
29,7257.420292000004,6.98,"[15.1153, 1, 1, 7257.42029, 104.29284, 1.79398]"
30,7608.585790000005,7.016,"[15.11588, 1, 1, 7608.58579, 104.28435, 1.79281]"
31,7959.751288000005,7.048,"[15.11669, 1, 1, 7959.75129, 104.2311, 1.79226]"
32,8310.916786000005,7.077,"[15.11594, 1, 1, 8310.91679, 104.17564, 1.79126]"
33,8662.082284000006,7.104,"[15.11294, 1, 1, 8662.08228, 104.14723, 1.79033]"
34,9013.247782000006,7.129,"[15.11372, 1, 1, 9013.24778, 104.16567, 1.78973]"
35,9364.413280000006,7.152,"[15.11239, 1, 1, 9364.41328, 104.10833, 1.78903]"
36,9715.578778000006,7.173,"[15.11316, 1, 1, 9715.57878, 104.08623, 1.78843]"
37,10066.744276000007,7.193,"[15.11403, 1, 1, 10066.74428, 104.04978, 1.7883]"
38,10417.909774000007,7.211,"[15.11438, 1, 1, 10417.90977, 104.08043, 1.78753]"
39,10769.075272000007,7.229,"[15.10026, 1, 1, 10769.07527, 104.06853, 1.78737]"
40,11120.240770000008,7.245,"[15.10875, 1, 1, 11120.24077, 104.04146, 1.78641]"
41,11471.406268000008,7.26,"[15.11355, 1, 1, 11471.40627, 104.01653, 1.78624]"
