,b,m,w,b*,m*,w*,chi_sq,r_sq,redchi_sq,success,model,chi_sq_list,Simulation results,x,exp_data,exp_error
0,1,2105.576395,0.013052416893090729,1,2105.576395,0.028861611441740532,7.361877416038084,0.9969153921898237,1.0516967737197263,True,<games.models.synTF.synTF object at 0x7f2f044f76a0>,"[41.82859091828153, 41.82859091847386, 41.82859091847386, 41.82859091847386, 41.82851502570856, 7.365139478151887, 7.3651402744667465, 7.361879176476352, 7.36187915803555, 7.36187741698927, 7.361877417462356, 7.361877416038084, 7.361877416038084, 7.361877416038084]","[0.0005612441308418802, 0.06570678715008964, 0.15073726146851713, 0.26643567384581607, 0.43317929949464756, 0.6950172102295309, 0.8717128571410755, 1.0]","[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961, 0.0474982931824832, 0.181459085145811, 0.304593777430996, 0.458695016092851, 0.703160050716863, 0.853116161123574, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]"
1,1,2105.576395,0.024162108469708832,1,2105.576395,0.028861610745285003,7.361877416038103,0.9969153918424936,1.0516967737197291,True,<games.models.synTF.synTF object at 0x7f2f044f7820>,"[9.827470426034346, 9.827470426032589, 9.827470426032589, 9.827470426032589, 9.827448821148614, 7.363522926443351, 7.363523491990449, 7.361878304323114, 7.361878291241401, 7.361877416509786, 7.361877416862539, 7.361877416038103, 7.361877416038103, 7.361877416038103]","[0.0005612441328490925, 0.0657067859016523, 0.15073725885402034, 0.26643566985479844, 0.433179294492539, 0.6950172059356571, 0.8717128548876508, 1.0]","[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961, 0.0474982931824832, 0.181459085145811, 0.304593777430996, 0.458695016092851, 0.703160050716863, 0.853116161123574, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]"
2,1,2105.576395,0.04583906463696761,1,2105.576395,0.028861614772562594,7.361877416038583,0.9969153938509246,1.0516967737197978,True,<games.models.synTF.synTF object at 0x7f2f044f4550>,"[31.647463320838423, 31.647463324225907, 31.647463324225907, 31.647463324225907, 31.647533388634645, 7.365645822914254, 7.365644967935077, 7.3618794729809265, 7.3618794930196385, 7.361877417190433, 7.361877416767868, 7.361877416038583, 7.361877416038583, 7.361877416038583]","[0.000561244121242319, 0.06570679312078126, 0.15073727397243564, 0.2664356929329932, 0.433179323417401, 0.6950172307658096, 0.8717128679186854, 1.0]","[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961, 0.0474982931824832, 0.181459085145811, 0.304593777430996, 0.458695016092851, 0.703160050716863, 0.853116161123574, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]"
3,1,2105.576395,0.03644033583770734,1,2105.576395,0.028861614620973784,7.361877416039924,0.996915393775313,1.0516967737199894,True,<games.models.synTF.synTF object at 0x7f2f044f7df0>,"[12.756733423242244, 12.75673342321424, 12.75673342321424, 12.75673342321424, 12.756766203483533, 7.36367796264369, 7.363677371516716, 7.36187840323305, 7.361878417129251, 7.361877416591189, 7.361877416311811, 7.361877416039924, 7.361877416039924, 7.361877416039924]","[0.0005612441216792035, 0.06570679284904928, 0.15073727340337068, 0.266435692064318, 0.4331793223286499, 0.6950172298311228, 0.8717128674284986, 1.0]","[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961, 0.0474982931824832, 0.181459085145811, 0.304593777430996, 0.458695016092851, 0.703160050716863, 0.853116161123574, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]"
4,1,2105.576395,0.020875984943326688,1,2105.576395,0.02886161004586651,7.361877416039939,0.9969153914936726,1.0516967737199914,True,<games.models.synTF.synTF object at 0x7f2f044f7370>,"[14.884266554072175, 14.884266553579412, 14.884266553579412, 14.884266553579412, 14.884229284269868, 7.367137814696378, 7.367138826378177, 7.3618803216515944, 7.361880297949263, 7.3618774175827495, 7.361877418177804, 7.361877416039939, 7.361877416039939, 7.361877416039939]","[0.0005612441348648451, 0.06570678464790393, 0.15073725622840087, 0.2664356658468017, 0.433179289469141, 0.6950172016234057, 0.8717128526249313, 1.0]","[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961, 0.0474982931824832, 0.181459085145811, 0.304593777430996, 0.458695016092851, 0.703160050716863, 0.853116161123574, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]"
5,1,2105.576395,0.04026889522090512,1,2105.576395,0.028861614561814054,7.361877416040589,0.9969153937458008,1.0516967737200842,True,<games.models.synTF.synTF object at 0x7f2f044f7fa0>,"[19.0324250234507, 19.032425023400297, 19.032425023400297, 19.032425023400297, 19.032473423755746, 7.364773337682102, 7.364772588006711, 7.3618790144602295, 7.361879032130459, 7.361877416933848, 7.361877416566945, 7.361877416040589, 7.361877416040589, 7.361877416040589]","[0.0005612441218497048, 0.0657067927430023, 0.15073727318128508, 0.26643569172530535, 0.43317932190376046, 0.695017229466384, 0.8717128672373008, 1.0]","[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961, 0.0474982931824832, 0.181459085145811, 0.304593777430996, 0.458695016092851, 0.703160050716863, 0.853116161123574, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]"
6,1,2105.576395,0.015217788474844715,1,2105.576395,0.02886160901789161,7.361877416041672,0.9969153909810171,1.051696773720239,True,<games.models.synTF.synTF object at 0x7f2f044f6c50>,"[31.836068406901493, 31.836068407120585, 31.836068407120585, 31.836068407120585, 31.836003315660154, 7.371515770741351, 7.371517140198612, 7.361882678303088, 7.361882646384403, 7.361877418867811, 7.361877419656425, 7.361877416041672, 7.361877416041672, 7.361877416041672]","[0.0005612441378275105, 0.06570678280520004, 0.15073725236937915, 0.26643565995602214, 0.43317928208597706, 0.6950171952849662, 0.8717128492985567, 1.0]","[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961, 0.0474982931824832, 0.181459085145811, 0.304593777430996, 0.458695016092851, 0.703160050716863, 0.853116161123574, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]"
7,1,2105.576395,0.016675863216907755,1,2105.576395,0.028861608893022733,7.361877416041806,0.9969153909187499,1.051696773720258,True,<games.models.synTF.synTF object at 0x7f2f044f7520>,"[26.30864769929269, 26.308647672773102, 26.308647672773102, 26.308647672773102, 26.30858985205319, 7.37220928739129, 7.372210702051388, 7.361882040222903, 7.361882010307874, 7.361877418501432, 7.36187741924233, 7.361877416041806, 7.361877416041806, 7.361877416041806]","[0.0005612441381873874, 0.06570678258136504, 0.15073725190062082, 0.26643565924046375, 0.43317928118914084, 0.6950171945147907, 0.8717128488943263, 1.0]","[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961, 0.0474982931824832, 0.181459085145811, 0.304593777430996, 0.458695016092851, 0.703160050716863, 0.853116161123574, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]"
8,1,2105.576395,0.029496723053336955,1,2105.576395,0.028861605339964444,7.361877416047609,0.9969153891467875,1.0516967737210872,True,<games.models.synTF.synTF object at 0x7f2f044f6c20>,"[7.403426381690958, 7.403426381690755, 7.403426381690755, 7.403426381690755, 7.403429226377833, 7.361899272243245, 7.361899207129355, 7.361877428045616, 7.361877429618418, 7.361877416047609, 7.361877416047609, 7.361877416047609]","[0.0005612441484274468, 0.06570677621230137, 0.15073723856242602, 0.2664356388797667, 0.4331792556702285, 0.695017172608561, 0.8717128373983615, 1.0]","[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961, 0.0474982931824832, 0.181459085145811, 0.304593777430996, 0.458695016092851, 0.703160050716863, 0.853116161123574, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]"
9,1,2105.576395,0.025813840849197023,1,2105.576395,0.028861656634627402,7.361877416236287,0.9969154147276977,1.051696773748041,True,<games.models.synTF.synTF object at 0x7f2f044f6830>,"[8.372283864214127, 8.372283863790361, 8.372283863790361, 8.372283863790361, 8.372269965005028, 7.362517925885678, 7.362518278680074, 7.361877763370291, 7.36187775520119, 7.361877416236287, 7.361877416236287, 7.361877416236287]","[0.0005612440005943742, 0.06570686816095692, 0.15073743112275126, 0.2664359328222276, 0.43317962408057303, 0.6950174888690345, 0.871713003372419, 1.0]","[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961, 0.0474982931824832, 0.181459085145811, 0.304593777430996, 0.458695016092851, 0.703160050716863, 0.853116161123574, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]"
