,fixed km,fixed km ppl,fixed km all parameters
0,85.33536375,7.233,"[15.04547, 1, 1, 394.92659, 85.33536, 1.94319]"
1,86.64821549999999,6.349,"[15.05709, 1, 1, 403.10942, 86.64822, 1.95486]"
2,87.96106724999999,5.539,"[15.07509, 1, 1, 411.86768, 87.96107, 1.96887]"
3,89.27391899999999,4.796,"[15.10408, 1, 1, 426.59341, 89.27392, 1.97285]"
4,91.89962249999999,3.516,"[15.11402, 1, 1, 447.50147, 91.89962, 1.98641]"
5,94.52532599999999,2.499,"[15.14755, 1, 1, 472.49653, 94.52533, 1.99796]"
6,99.776733,1.195,"[15.18413, 1, 1, 526.87971, 99.77673, 2.01926]"
7,105.02814,0.784,"[15.22349, 1, 1, 585.27583, 105.02814, 2.03687]"
8,105.02814,0.784,"[15.22349, 1, 1, 585.27583, 105.02814, 2.03687]"
9,110.279547,1.166,"[15.24507, 1, 1, 650.40724, 110.27955, 2.04705]"
10,115.530954,2.248,"[15.27839, 1, 1, 720.25461, 115.53095, 2.05069]"
11,118.1566575,3.022,"[15.27977, 1, 1, 754.75259, 118.15666, 2.05138]"
12,120.782361,3.94,"[15.25523, 1, 1, 792.16197, 120.78236, 2.05088]"
13,123.4080645,4.989,"[15.29038, 1, 1, 831.89503, 123.40806, 2.05256]"
14,126.033768,6.162,"[15.28509, 1, 1, 874.60513, 126.03377, 2.05356]"
15,128.6594715,7.448,"[15.31578, 1, 1, 904.78628, 128.65947, 2.0468]"
