,fixed m,fixed m ppl,fixed m all parameters
0,270.69007137499995,7.228,"[14.92779, 1, 1, 270.69007, 92.86318, 1.93625]"
1,278.00601924999995,6.749,"[14.94052, 1, 1, 278.00602, 93.33897, 1.94096]"
2,292.63791499999996,5.886,"[14.9636, 1, 1, 292.63791, 94.29699, 1.94983]"
3,307.26981075,5.137,"[14.98458, 1, 1, 307.26981, 95.10435, 1.95819]"
4,321.9017065,4.484,"[15.00473, 1, 1, 321.90171, 95.9522, 1.96608]"
5,351.165498,3.421,"[15.04058, 1, 1, 351.1655, 97.47158, 1.97942]"
6,380.42928950000004,2.616,"[15.07199, 1, 1, 380.42929, 98.81419, 1.99109]"
7,409.69308100000006,2.012,"[15.10232, 1, 1, 409.69308, 100.00264, 2.00206]"
8,468.22066400000006,1.244,"[15.15568, 1, 1, 468.22066, 101.98885, 2.01831]"
9,585.27583,0.784,"[15.22349, 1, 1, 585.27583, 105.02814, 2.03687]"
10,585.27583,0.784,"[15.22349, 1, 1, 585.27583, 105.02814, 2.03687]"
11,936.4413280000001,2.129,"[15.24082, 1, 1, 936.44133, 107.9148, 1.98726]"
12,1112.024077,2.896,"[15.22482, 1, 1, 1112.02408, 107.59058, 1.94711]"
13,1287.6068260000002,3.511,"[15.21641, 1, 1, 1287.60683, 107.31219, 1.91946]"
14,1463.1895750000003,3.998,"[15.192, 1, 1, 1463.18958, 106.82466, 1.89668]"
15,1638.7723240000005,4.389,"[15.18116, 1, 1, 1638.77232, 106.55023, 1.88101]"
16,1814.3550730000006,4.708,"[15.17283, 1, 1, 1814.35507, 106.23817, 1.8683]"
17,1989.9378220000008,4.973,"[15.16607, 1, 1, 1989.93782, 106.07814, 1.85852]"
18,2165.520571000001,5.195,"[15.15657, 1, 1, 2165.52057, 105.76258, 1.85034]"
19,2341.103320000001,5.385,"[15.15512, 1, 1, 2341.10332, 105.60548, 1.84358]"
20,2516.686069000001,5.549,"[15.15151, 1, 1, 2516.68607, 105.54585, 1.83789]"
21,2692.2688180000014,5.691,"[15.14787, 1, 1, 2692.26882, 105.36694, 1.83334]"
22,2867.8515670000015,5.816,"[15.1408, 1, 1, 2867.85157, 105.25829, 1.82928]"
23,3043.4343160000017,5.927,"[15.13855, 1, 1, 3043.43432, 105.17286, 1.82543]"
24,3219.017065000002,6.026,"[15.13475, 1, 1, 3219.01707, 105.08868, 1.82233]"
25,3394.599814000002,6.115,"[15.13697, 1, 1, 3394.59981, 105.03638, 1.81949]"
26,3570.182563000002,6.195,"[15.13552, 1, 1, 3570.18256, 104.91541, 1.81706]"
27,3745.7653120000023,6.267,"[15.13516, 1, 1, 3745.76531, 104.88133, 1.81514]"
28,4009.1394355000025,6.364,"[15.129, 1, 1, 4009.13944, 104.77825, 1.81177]"
29,4272.513559000003,6.449,"[15.13371, 1, 1, 4272.51356, 104.7119, 1.80898]"
30,4535.8876825000025,6.524,"[15.12692, 1, 1, 4535.88768, 104.66228, 1.80705]"
31,4843.1574932500025,6.601,"[15.12094, 1, 1, 4843.15749, 104.5721, 1.80464]"
32,5172.375147625003,6.674,"[15.12394, 1, 1, 5172.37515, 104.5213, 1.80258]"
33,5523.540645625003,6.742,"[15.12132, 1, 1, 5523.54065, 104.45918, 1.80047]"
34,5874.706143625003,6.801,"[15.12003, 1, 1, 5874.70614, 104.42509, 1.79888]"
35,6225.871641625004,6.854,"[15.11966, 1, 1, 6225.87164, 104.39394, 1.79759]"
