,fixed n,fixed n ppl,fixed n all parameters
0,1.5582055499999996,13.095,"[14.73499, 1, 1, 2212.28731, 101.19526, 1.55821]"
1,1.5785742499999995,11.851,"[14.75389, 1, 1, 1688.73009, 101.38623, 1.57857]"
2,1.6040351249999996,10.42,"[14.78075, 1, 1, 1306.95752, 101.63918, 1.60404]"
3,1.6294959999999996,9.118,"[14.80251, 1, 1, 1092.72192, 101.87451, 1.6295]"
4,1.6804177499999997,6.871,"[14.85318, 1, 1, 858.36303, 102.30461, 1.68042]"
5,1.7313394999999998,5.055,"[14.90434, 1, 1, 738.0645, 102.72534, 1.73134]"
6,1.78226125,3.619,"[14.95524, 1, 1, 668.2694, 103.18416, 1.78226]"
7,1.833183,2.52,"[15.00861, 1, 1, 626.80028, 103.59417, 1.83318]"
8,2.03687,0.784,"[15.22349, 1, 1, 585.27583, 105.02814, 2.03687]"
9,2.03687,0.784,"[15.22349, 1, 1, 585.27583, 105.02814, 2.03687]"
10,2.240557,2.044,"[15.41452, 1, 1, 639.90683, 106.0688, 2.24056]"
11,2.3424005,3.415,"[15.50773, 1, 1, 690.12816, 106.46951, 2.3424]"
12,2.4442440000000003,5.138,"[15.59674, 1, 1, 753.71621, 106.75792, 2.44424]"
13,2.5460875000000005,7.131,"[15.68265, 1, 1, 832.0694, 106.97402, 2.54609]"
14,2.6479310000000007,9.327,"[15.7651, 1, 1, 925.17856, 107.09493, 2.64793]"
15,2.749774500000001,11.674,"[15.84389, 1, 1, 1034.54869, 107.12511, 2.74977]"
16,2.800696250000001,12.89,"[15.88155, 1, 1, 1095.96421, 107.11475, 2.8007]"
