,b,m,w,x,exp_data,exp_error,chi_sq,normalized solutions
0,1,5691.139403915947,0.09425936493992436,"[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961474, 0.04749829318248318, 0.181459085145811, 0.3045937774309958, 0.45869501609285085, 0.7031600507168634, 0.8531161611235736, 1.0]","[0.0001462986442992295, 0.009753242953281966, 0.024383107383204917, 0.048766214766409834, 0.048766214766409834, 0.07314932214961474, 0.09753242953281967, 0.14629864429922948]",258.3818,"[0.00018609067373282767, 0.16928358763178292, 0.3399754113114272, 0.5126258984188347, 0.6878608582239082, 0.8670417527318821, 0.9507971698394001, 1.0]"
1,1,30.26858792678512,2.686742332909957,"[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961474, 0.04749829318248318, 0.181459085145811, 0.3045937774309958, 0.45869501609285085, 0.7031600507168634, 0.8531161611235736, 1.0]","[0.0001462986442992295, 0.009753242953281966, 0.024383107383204917, 0.048766214766409834, 0.048766214766409834, 0.07314932214961474, 0.09753242953281967, 0.14629864429922948]",53839.1792,"[0.032077492036447254, 0.844300854676347, 0.9298294916855969, 0.9633563005978222, 0.9816145462043885, 0.993432549250437, 0.9976986265093315, 1.0]"
2,1,1.3863991627515972,4.1565089927579346e-05,"[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961474, 0.04749829318248318, 0.181459085145811, 0.3045937774309958, 0.45869501609285085, 0.7031600507168634, 0.8531161611235736, 1.0]","[0.0001462986442992295, 0.009753242953281966, 0.024383107383204917, 0.048766214766409834, 0.048766214766409834, 0.07314932214961474, 0.09753242953281967, 0.14629864429922948]",45602783.5394,"[0.9885674312618552, 0.9886827342658966, 0.9888556498863077, 0.9891437351085002, 0.989719552333991, 0.991443989502809, 0.9943082087069249, 1.0]"
3,1,1966.919105740772,4.875953205634851,"[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961474, 0.04749829318248318, 0.181459085145811, 0.3045937774309958, 0.45869501609285085, 0.7031600507168634, 0.8531161611235736, 1.0]","[0.0001462986442992295, 0.009753242953281966, 0.024383107383204917, 0.048766214766409834, 0.048766214766409834, 0.07314932214961474, 0.09753242953281967, 0.14629864429922948]",9023.8843,"[0.0005091426784397235, 0.9023370135713873, 0.9573506061520272, 0.977887209683319, 0.9888938301714093, 0.9960004663162533, 0.9985865372913276, 1.0]"
4,1,1792.586575236385,0.8075594161824073,"[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961474, 0.04749829318248318, 0.181459085145811, 0.3045937774309958, 0.45869501609285085, 0.7031600507168634, 0.8531161611235736, 1.0]","[0.0001462986442992295, 0.009753242953281966, 0.024383107383204917, 0.048766214766409834, 0.048766214766409834, 0.07314932214961474, 0.09753242953281967, 0.14629864429922948]",4349.3836,"[0.0005622771422752009, 0.6195624947871191, 0.8021288690591921, 0.8907869436001518, 0.9438536251005947, 0.9798486887477473, 0.9929883664501056, 1.0]"
5,1,135.64914877841238,1.0686283011077988,"[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961474, 0.04749829318248318, 0.181459085145811, 0.3045937774309958, 0.45869501609285085, 0.7031600507168634, 0.8531161611235736, 1.0]","[0.0001462986442992295, 0.009753242953281966, 0.024383107383204917, 0.048766214766409834, 0.048766214766409834, 0.07314932214961474, 0.09753242953281967, 0.14629864429922948]",7322.9344,"[0.007366561597271697, 0.6835771180935364, 0.8425405632481153, 0.9147553587781192, 0.956609516548014, 0.9844956571835197, 0.9946044166319424, 1.0]"
6,1,29751.021711288202,0.00029981323836397484,"[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961474, 0.04749829318248318, 0.181459085145811, 0.3045937774309958, 0.45869501609285085, 0.7031600507168634, 0.8531161611235736, 1.0]","[0.0001462986442992295, 0.009753242953281966, 0.024383107383204917, 0.048766214766409834, 0.048766214766409834, 0.07314932214961474, 0.09753242953281967, 0.14629864429922948]",182.0844,"[0.0005878940308933703, 0.01119566931711488, 0.027082673527824223, 0.053495462529293755, 0.10607659952379316, 0.26189154112030705, 0.5153301807188325, 1.0]"
7,1,32.598514820063436,0.0006951656818067982,"[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961474, 0.04749829318248318, 0.181459085145811, 0.3045937774309958, 0.45869501609285085, 0.7031600507168634, 0.8531161611235736, 1.0]","[0.0001462986442992295, 0.009753242953281966, 0.024383107383204917, 0.048766214766409834, 0.048766214766409834, 0.07314932214961474, 0.09753242953281967, 0.14629864429922948]",1847945.1139,"[0.19959194230768282, 0.20873405475522155, 0.22239804983424522, 0.2450411881342413, 0.289845542930102, 0.4205245110405043, 0.626632478581348, 1.0]"
8,1,73.79094293544101,0.06422838635853005,"[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961474, 0.04749829318248318, 0.181459085145811, 0.3045937774309958, 0.45869501609285085, 0.7031600507168634, 0.8531161611235736, 1.0]","[0.0001462986442992295, 0.009753242953281966, 0.024383107383204917, 0.048766214766409834, 0.048766214766409834, 0.07314932214961474, 0.09753242953281967, 0.14629864429922948]",8965.6255,"[0.01449126510743975, 0.1372039621146581, 0.2754401742971653, 0.432528411371076, 0.6130162389657007, 0.8237269569615919, 0.9326596390652154, 1.0]"
9,1,465.50549113275827,0.07756203982891632,"[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961474, 0.04749829318248318, 0.181459085145811, 0.3045937774309958, 0.45869501609285085, 0.7031600507168634, 0.8531161611235736, 1.0]","[0.0001462986442992295, 0.009753242953281966, 0.024383107383204917, 0.048766214766409834, 0.048766214766409834, 0.07314932214961474, 0.09753242953281967, 0.14629864429922948]",273.561,"[0.00229582381535126, 0.14688179148382652, 0.3017770065234671, 0.46837904880806897, 0.6485678275098211, 0.8453332262008817, 0.9418959410423403, 1.0]"
