,fixed m,fixed m ppl,fixed m all parameters
0,890.8209035,22.366,"[1, 890.8209, 0.03053]"
1,1052.7883405,13.147,"[1, 1052.78834, 0.02989]"
2,1214.7557775,8.775,"[1, 1214.75578, 0.02949]"
3,1376.7232145,6.811,"[1, 1376.72321, 0.02925]"
4,1619.67437,6.044,"[1, 1619.67437, 0.02903]"
5,1619.67437,6.044,"[1, 1619.67437, 0.02903]"
6,2105.576681,7.362,"[1, 2105.57668, 0.02886]"
7,2591.478992,9.527,"[1, 2591.47899, 0.02882]"
8,3077.3813029999997,11.606,"[1, 3077.3813, 0.02882]"
9,3563.2836139999995,13.421,"[1, 3563.28361, 0.02883]"
10,4049.1859249999993,14.973,"[1, 4049.18592, 0.02885]"
