,b,m,w,x,exp_data,exp_error,chi_sq,normalized solutions
0,1,375.14296400274355,0.0391905,"[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961474, 0.04749829318248318, 0.181459085145811, 0.3045937774309958, 0.45869501609285085, 0.7031600507168634, 0.8531161611235736, 1.0]","[0.0001462986442992295, 0.009753242953281966, 0.024383107383204917, 0.048766214766409834, 0.048766214766409834, 0.07314932214961474, 0.09753242953281967, 0.14629864429922948]",261.7615,"[0.0030191579433222317, 0.08612551822369495, 0.18979054687390345, 0.32279319057083716, 0.4998596386261712, 0.7481455148495703, 0.8983725982955659, 1.0]"
1,1,66505.88140916843,0.0391905,"[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961474, 0.04749829318248318, 0.181459085145811, 0.3045937774309958, 0.45869501609285085, 0.7031600507168634, 0.8531161611235736, 1.0]","[0.0001462986442992295, 0.009753242953281966, 0.024383107383204917, 0.048766214766409834, 0.048766214766409834, 0.07314932214961474, 0.09753242953281967, 0.14629864429922948]",38.7835,"[1.7081592143242013e-05, 0.08337368607437552, 0.1873508695989514, 0.32075401573870566, 0.49835362869665484, 0.7473871233520999, 0.8980665645655619, 1.0]"
2,1,737683.2063550821,0.0391905,"[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961474, 0.04749829318248318, 0.181459085145811, 0.3045937774309958, 0.45869501609285085, 0.7031600507168634, 0.8531161611235736, 1.0]","[0.0001462986442992295, 0.009753242953281966, 0.024383107383204917, 0.048766214766409834, 0.048766214766409834, 0.07314932214961474, 0.09753242953281967, 0.14629864429922948]",39.8208,"[1.5400160997494693e-06, 0.0833594431807557, 0.18733824519443673, 0.3207434632934405, 0.4983458401885723, 0.7473832127026976, 0.8980649816536121, 1.0]"
3,1,6879.24933333164,0.0391905,"[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961474, 0.04749829318248318, 0.181459085145811, 0.3045937774309958, 0.45869501609285085, 0.7031600507168634, 0.8531161611235736, 1.0]","[0.0001462986442992295, 0.009753242953281966, 0.024383107383204917, 0.048766214766409834, 0.048766214766409834, 0.07314932214961474, 0.09753242953281967, 0.14629864429922948]",30.0347,"[0.00016511368012778917, 0.08350938069482243, 0.18747117042722528, 0.3208545640950318, 0.4984278922921373, 0.7474245307124417, 0.8980816572575087, 1.0]"
4,1,10748.89850219853,0.0391905,"[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961474, 0.04749829318248318, 0.181459085145811, 0.3045937774309958, 0.45869501609285085, 0.7031600507168634, 0.8531161611235736, 1.0]","[0.0001462986442992295, 0.009753242953281966, 0.024383107383204917, 0.048766214766409834, 0.048766214766409834, 0.07314932214961474, 0.09753242953281967, 0.14629864429922948]",33.3013,"[0.00010567833691011695, 0.08345490138780456, 0.18742287543618413, 0.3208141984294669, 0.49839808466608365, 0.7474095328655687, 0.8980755909606215, 1.0]"
5,1,21413.572303928453,0.0391905,"[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961474, 0.04749829318248318, 0.181459085145811, 0.3045937774309958, 0.45869501609285085, 0.7031600507168634, 0.8531161611235736, 1.0]","[0.0001462986442992295, 0.009753242953281966, 0.024383107383204917, 0.048766214766409834, 0.048766214766409834, 0.07314932214961474, 0.09753242953281967, 0.14629864429922948]",36.4694,"[5.30497890100948e-05, 0.08340665887326179, 0.18738010175512215, 0.3207784510423353, 0.4983716775569811, 0.7473962292992677, 0.8980702416040792, 1.0]"
6,1,13.626700384805803,0.0391905,"[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961474, 0.04749829318248318, 0.181459085145811, 0.3045937774309958, 0.45869501609285085, 0.7031600507168634, 0.8531161611235736, 1.0]","[0.0001462986442992295, 0.009753242953281966, 0.024383107383204917, 0.048766214766409834, 0.048766214766409834, 0.07314932214961474, 0.09753242953281967, 0.14629864429922948]",271576.7827,"[0.07695355145526692, 0.15389688562134726, 0.2498742931272204, 0.37301368697456383, 0.5369491885967628, 0.7668225845360505, 0.9059091089334954, 1.0]"
7,1,72559.58634527463,0.0391905,"[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961474, 0.04749829318248318, 0.181459085145811, 0.3045937774309958, 0.45869501609285085, 0.7031600507168634, 0.8531161611235736, 1.0]","[0.0001462986442992295, 0.009753242953281966, 0.024383107383204917, 0.048766214766409834, 0.048766214766409834, 0.07314932214961474, 0.09753242953281967, 0.14629864429922948]",38.8777,"[1.5656483804055493e-05, 0.08337238270287355, 0.18734971609928924, 0.3207530513384659, 0.4983529233861214, 0.7473867827618816, 0.8980664415077135, 1.0]"
8,1,11.128784002742165,0.0391905,"[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961474, 0.04749829318248318, 0.181459085145811, 0.3045937774309958, 0.45869501609285085, 0.7031600507168634, 0.8531161611235736, 1.0]","[0.0001462986442992295, 0.009753242953281966, 0.024383107383204917, 0.048766214766409834, 0.048766214766409834, 0.07314932214961474, 0.09753242953281967, 0.14629864429922948]",394720.6127,"[0.0926262949381398, 0.1682631793947968, 0.2626109505070873, 0.3836595177122483, 0.54481150503316, 0.7707817926814506, 0.9075067137400644, 1.0]"
9,1,155.57781657310002,0.0391905,"[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961474, 0.04749829318248318, 0.181459085145811, 0.3045937774309958, 0.45869501609285085, 0.7031600507168634, 0.8531161611235736, 1.0]","[0.0001462986442992295, 0.009753242953281966, 0.024383107383204917, 0.048766214766409834, 0.048766214766409834, 0.07314932214961474, 0.09753242953281967, 0.14629864429922948]",2005.5633,"[0.007249172127804251, 0.09000292689445513, 0.1932281158712942, 0.3256664679776051, 0.501981650062178, 0.7492140946091312, 0.8988037872302913, 1.0]"
10,1,104101.79074759863,0.0391905,"[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961474, 0.04749829318248318, 0.181459085145811, 0.3045937774309958, 0.45869501609285085, 0.7031600507168634, 0.8531161611235736, 1.0]","[0.0001462986442992295, 0.009753242953281966, 0.024383107383204917, 0.048766214766409834, 0.048766214766409834, 0.07314932214961474, 0.09753242953281967, 0.14629864429922948]",39.1925,"[1.0912716833774446e-05, 0.08336803441826882, 0.18734585882475815, 0.320749824911517, 0.49835053785968597, 0.7473855756857126, 0.8980659438939205, 1.0]"
11,1,12.471203565725789,0.0391905,"[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961474, 0.04749829318248318, 0.181459085145811, 0.3045937774309958, 0.45869501609285085, 0.7031600507168634, 0.8531161611235736, 1.0]","[0.0001462986442992295, 0.009753242953281966, 0.024383107383204917, 0.048766214766409834, 0.048766214766409834, 0.07314932214961474, 0.09753242953281967, 0.14629864429922948]",320130.8062,"[0.08348827393126956, 0.15988689014142904, 0.25518482567736067, 0.377452456918406, 0.5402273702426083, 0.768473379411533, 0.9065752246026739, 1.0]"
12,1,265008.0722579072,0.0391905,"[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961474, 0.04749829318248318, 0.181459085145811, 0.3045937774309958, 0.45869501609285085, 0.7031600507168634, 0.8531161611235736, 1.0]","[0.0001462986442992295, 0.009753242953281966, 0.024383107383204917, 0.048766214766409834, 0.048766214766409834, 0.07314932214961474, 0.09753242953281967, 0.14629864429922948]",39.6358,"[4.286816164538532e-06, 0.08336196034871035, 0.18734047359531858, 0.32074532361298197, 0.4983472206677885, 0.7473839079177436, 0.8980652690805151, 1.0]"
