,b,m,w,b*,m*,w*,chi_sq,r_sq,redchi_sq,success,model,chi_sq_list,Simulation results,x,exp_data,exp_error
0,1,6364.384643517292,0.028656325656849786,1,1619.6743713041724,0.029034116203016668,6.044377643319858,0.9969997597249941,1.0073962738866429,True,<games.models.synTF.synTF object at 0x7f70b07d6c80>,"[19.844609410345655, 19.844609412469154, 19.844609412469154, 19.844609412469154, 19.844612037202445, 19.84460810592628, 7.054172058836302, 7.054180495366682, 7.05417081425664, 6.0572931871182165, 6.057293939080292, 6.057293082312602, 6.044381150956997, 6.044381162956522, 6.0443811491476325, 6.044377643326386, 6.044377643344237, 6.044377643376094, 6.044377643319858, 6.044377643319858, 6.044377643319858]","[0.0007288521287325038, 0.06617299857162708, 0.15152706894846069, 0.2675460556955201, 0.4345106099744778, 0.6961280978599451, 0.8722900438175447, 1.0]","[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961474, 0.04749829318248318, 0.181459085145811, 0.3045937774309958, 0.45869501609285085, 0.7031600507168634, 0.8531161611235736, 1.0]","[0.0001462986442992295, 0.009753242953281966, 0.024383107383204917, 0.048766214766409834, 0.048766214766409834, 0.07314932214961474, 0.09753242953281967, 0.14629864429922948]"
1,1,30769.459494058934,0.04974200522810351,1,1619.674318699055,0.029034115969624928,6.044377643320946,0.9969997596130675,1.0073962738868245,True,<games.models.synTF.synTF object at 0x7f70b07d5a80>,"[62.66319125361583, 62.663191254387165, 62.663191254387165, 62.663191254387165, 62.66319157476062, 62.663274749763254, 31.505975631922645, 31.50597563130408, 31.50598752502351, 7.152118206556835, 7.152092153592792, 7.15211747986536, 6.0595715365368825, 6.059569158083948, 6.059571401666891, 6.044382465483175, 6.044382424686452, 6.04438246411053, 6.044377643325269, 6.044377643404541, 6.044377643353866, 6.044377643320946, 6.044377643320946, 6.044377643320946]","[0.0007288521532515056, 0.06617299817591386, 0.15152706809410127, 0.2675460543795078, 0.43451060831948957, 0.6961280964387192, 0.8722900430726617, 1.0]","[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961474, 0.04749829318248318, 0.181459085145811, 0.3045937774309958, 0.45869501609285085, 0.7031600507168634, 0.8531161611235736, 1.0]","[0.0001462986442992295, 0.009753242953281966, 0.024383107383204917, 0.048766214766409834, 0.048766214766409834, 0.07314932214961474, 0.09753242953281967, 0.14629864429922948]"
2,1,182545.25729113442,0.034086135243857806,1,1619.6742819186352,0.029034117730889857,6.044377643323908,0.996999760457589,1.0073962738873181,True,<games.models.synTF.synTF object at 0x7f70b07d6bf0>,"[32.73758620705989, 32.73758620678507, 32.73758620678507, 32.73758620678507, 32.7375862175683, 32.73760767398653, 660.3534953473982, 32.62181530030059, 32.62181530562262, 32.62183453260934, 31.902280811992988, 31.90228083581739, 31.90229643767504, 31.449776152077515, 31.449776151749173, 31.449787553338815, 30.873878827873135, 30.873878826433696, 30.87388282061414, 30.70556395044965, 30.705563950696828, 30.705564000795345, 30.89018770184109, 30.82001191490587, 30.797922831910324, 30.286835096838637, 30.286835044556568, 30.286834980472808, 30.766797320244816, 29.77689925209008, 29.776899315820724, 29.776899202485954, 12.42325036429966, 12.423222980228099, 12.423247313710895, 10.702033786714374, 10.702012115902463, 10.702031844750334, 8.29879022632577, 8.29877723364585, 8.298789773551523, 6.235318703046389, 6.23531582711663, 6.235318717502554, 6.045004126462921, 6.0450039666665045, 6.0450040733057575, 6.044382830630792, 6.0443828432378615, 6.044382842385531, 6.044377643968732, 6.044377643967534, 6.044377643665768, 6.044377643323908, 6.044377643323908, 6.044377643323908]","[0.0007288521632710103, 0.06617300134443385, 0.15152707470713814, 0.26754606445378487, 0.43451062091916326, 0.6961281072233797, 0.872290048722061, 1.0]","[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961474, 0.04749829318248318, 0.181459085145811, 0.3045937774309958, 0.45869501609285085, 0.7031600507168634, 0.8531161611235736, 1.0]","[0.0001462986442992295, 0.009753242953281966, 0.024383107383204917, 0.048766214766409834, 0.048766214766409834, 0.07314932214961474, 0.09753242953281967, 0.14629864429922948]"
3,1,944.2712098103123,0.03711068919199073,1,1619.6743653076173,0.029034114607570934,6.0443776433269605,0.9969997589599642,1.007396273887827,True,<games.models.synTF.synTF object at 0x7f70b07d5ff0>,"[23.14251853730417, 23.142518537069012, 23.142518537069012, 23.142518537069012, 23.142476223708623, 23.142549833901928, 6.738559520488136, 6.738553423400987, 6.738557632302401, 6.050941861101723, 6.0509413791334445, 6.050941819275676, 6.044378576402586, 6.044378570818881, 6.04437857436091, 6.044377643330453, 6.044377643340822, 6.044377643423642, 6.0443776433269605, 6.0443776433269605, 6.0443776433269605]","[0.000728852137333716, 0.06617299571784112, 0.15152706297281818, 0.26754604658228615, 0.4345105985703913, 0.6961280880950113, 0.8722900387014833, 1.0]","[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961474, 0.04749829318248318, 0.181459085145811, 0.3045937774309958, 0.45869501609285085, 0.7031600507168634, 0.8531161611235736, 1.0]","[0.0001462986442992295, 0.009753242953281966, 0.024383107383204917, 0.048766214766409834, 0.048766214766409834, 0.07314932214961474, 0.09753242953281967, 0.14629864429922948]"
4,1,406589.5779446999,0.024351443518965576,1,1619.6742846944599,0.02903412215167095,6.044377643327918,0.9969997625773541,1.0073962738879867,True,<games.models.synTF.synTF object at 0x7f70b07d6c50>,"[33.31513121043649, 33.315131211461235, 33.315131211461235, 33.315131211461235, 33.31513121172283, 33.31510869761234, 31.173520971897517, 31.173520929925374, 31.173530620635873, 30.66264693595359, 30.662647120110286, 30.6626477853611, 30.793824961467685, 30.367771952652667, 30.367771427982856, 30.367772387286745, 30.748397482023947, 30.74001547959459, 28.238855374128523, 28.238862305321714, 28.238856057436536, 21.98895130570415, 21.988992429887812, 21.988952653303564, 16.13031243934726, 16.130393147621973, 16.13031414227241, 8.152296638687933, 8.152397363422482, 8.152298017643915, 6.418596832966146, 6.418512239206535, 6.4185961656601735, 6.046562080249531, 6.046556571541947, 6.046562037858099, 6.04437774003995, 6.044377707822877, 6.044377739037551, 6.044377643327918, 6.044377643327918, 6.044377643327918]","[0.0007288521456591034, 0.06617300925751414, 0.15152709126967775, 0.2675460897090915, 0.4345106525205672, 0.6961281342803707, 0.8722900628968852, 1.0]","[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961474, 0.04749829318248318, 0.181459085145811, 0.3045937774309958, 0.45869501609285085, 0.7031600507168634, 0.8531161611235736, 1.0]","[0.0001462986442992295, 0.009753242953281966, 0.024383107383204917, 0.048766214766409834, 0.048766214766409834, 0.07314932214961474, 0.09753242953281967, 0.14629864429922948]"
5,1,18816.326109698486,0.020832101509522014,1,1619.6743243085962,0.02903411837058551,6.044377643328851,0.9969997607643337,1.0073962738881421,True,<games.models.synTF.synTF object at 0x7f70b07d6e30>,"[34.86862866655832, 34.868628666603236, 34.868628666603236, 34.868628666603236, 34.86862928330133, 34.86858995934065, 30.58842399813587, 30.588423981599757, 30.588425037103583, 27.260349814796662, 27.260349132688543, 27.260350100113875, 30.66588721645055, 29.352664516411316, 146.82488704786917, 26.319804256183183, 26.319803312951148, 26.31980464611383, 23.43839506676832, 23.43839319701293, 23.43839576123661, 18.6528403282951, 18.652836692279813, 18.652841431868143, 10.977329319961495, 10.977323362838895, 10.977330652124923, 6.294497670458602, 6.29450135628279, 6.294497043406098, 6.045416204292025, 6.045416412522791, 6.0454161781962, 6.044377667050986, 6.04437766804479, 6.044377666793509, 6.044377643328851, 6.044377643328851, 6.044377643328851]","[0.0007288521418408069, 0.06617300247175517, 0.15152707708757238, 0.26754606809414416, 0.43451062548078495, 0.6961281111320435, 0.8722900507695817, 1.0]","[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961474, 0.04749829318248318, 0.181459085145811, 0.3045937774309958, 0.45869501609285085, 0.7031600507168634, 0.8531161611235736, 1.0]","[0.0001462986442992295, 0.009753242953281966, 0.024383107383204917, 0.048766214766409834, 0.048766214766409834, 0.07314932214961474, 0.09753242953281967, 0.14629864429922948]"
6,1,316341.8549684434,0.012983889756251097,1,1619.6742969250672,0.02903411825422715,6.044377643330071,0.9969997607085251,1.0073962738883453,True,<games.models.synTF.synTF object at 0x7f70b07d6cb0>,"[67.15554970626133, 67.15554970623393, 67.15554970623393, 67.15554970623393, 67.15554970938749, 67.15547137406861, 31.006290217569987, 31.006290337254832, 31.006297218019185, 30.7123806175233, 30.71238170606767, 30.71238013804158, 30.758365942567465, 12.104923833406204, 12.114066993091875, 12.104920782195231, 6.29398874920814, 6.29516237773814, 6.293988211756368, 6.045417770963147, 6.045485030905057, 6.045417741569353, 6.044377668849506, 6.044379027005552, 6.044377668711907, 6.044377643330071, 6.044377643330071, 6.044377643330071]","[0.0007288521545850933, 0.06617300227495307, 0.15152707666206036, 0.26754606743840575, 0.4345106246559686, 0.6961281104236464, 0.8722900503984276, 1.0]","[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961474, 0.04749829318248318, 0.181459085145811, 0.3045937774309958, 0.45869501609285085, 0.7031600507168634, 0.8531161611235736, 1.0]","[0.0001462986442992295, 0.009753242953281966, 0.024383107383204917, 0.048766214766409834, 0.048766214766409834, 0.07314932214961474, 0.09753242953281967, 0.14629864429922948]"
7,1,3415.873902443813,0.02418242912122693,1,1619.6740779650816,0.029034111802116538,6.044377643330212,0.9969997576147398,1.0073962738883686,True,<games.models.synTF.synTF object at 0x7f70b07d6d40>,"[15.290993775491959, 15.290994170461023, 15.290994170461023, 15.290994170461023, 15.29099907869448, 15.290973000704472, 45.96920279602211, 11.717903509097779, 11.717908785663903, 11.717886551925094, 6.997438258197828, 6.99744152699916, 6.997429613980411, 6.056505216469073, 6.056504573533469, 6.056505470188711, 6.0443813032400975, 6.044381293460322, 6.044381289040563, 6.044377644365574, 6.044377644374514, 6.044377644869718, 6.044377643330212, 6.044377643330212, 6.044377643330212]","[0.0007288522769278394, 0.06617299081615322, 0.15152705257115356, 0.26754603064921634, 0.4345105785885735, 0.6961280709634555, 0.8722900297225396, 1.0]","[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961474, 0.04749829318248318, 0.181459085145811, 0.3045937774309958, 0.45869501609285085, 0.7031600507168634, 0.8531161611235736, 1.0]","[0.0001462986442992295, 0.009753242953281966, 0.024383107383204917, 0.048766214766409834, 0.048766214766409834, 0.07314932214961474, 0.09753242953281967, 0.14629864429922948]"
8,1,1641.875787052164,0.046279789084236106,1,1619.6741651623583,0.02903412967077765,6.0443776433410425,0.9969997661827676,1.007396273890174,True,<games.models.synTF.synTF object at 0x7f70b07d60b0>,"[31.18962975820866, 31.18962975820283, 31.18962975820283, 31.18962975820283, 31.189631255883338, 31.189701265117307, 6.063924243482743, 6.063923644157345, 6.063922781637114, 6.044392283262204, 6.044392274663607, 6.044392331318714, 6.044377658532765, 6.04437765854884, 6.044377656855474, 6.0443776433410425, 6.0443776433410425, 6.0443776433410425]","[0.0007288521715776421, 0.06617302276878761, 0.1515271194877289, 0.2675461327058908, 0.43451070630184724, 0.6961281803180003, 0.8722900870138623, 1.0]","[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961474, 0.04749829318248318, 0.181459085145811, 0.3045937774309958, 0.45869501609285085, 0.7031600507168634, 0.8531161611235736, 1.0]","[0.0001462986442992295, 0.009753242953281966, 0.024383107383204917, 0.048766214766409834, 0.048766214766409834, 0.07314932214961474, 0.09753242953281967, 0.14629864429922948]"
9,1,514845.7904313375,0.015202461663647878,1,578371.6640982686,0.029206698531945255,30.727446753832712,0.9970808747107514,5.121241125638786,True,<games.models.synTF.synTF object at 0x7f70b07d61a0>,"[56.67067005855695, 56.67067005740635, 56.67067005740635, 56.67067005740635, 56.67067006981267, 56.67060268819388, 30.924627132176408, 30.924627132244975, 30.924633371200635, 30.75664773264722, 30.756647728264433, 30.75664863563352, 30.72744687055903, 30.727446274757554, 30.727446820020408, 33.56120134359415, 31.544453666544506, 30.800668264411733, 30.731358248755786, 30.727717564999868, 30.727495069464652, 30.727469747242445, 30.72745878667149, 30.727453151342495, 30.72745032264464, 30.72744857245876, 30.727447585470067, 30.727447104351352, 30.727446942899544, 30.727446978505874, 30.727447039373935, 30.727446753832712, 30.727446753832712, 30.727446753832712]","[2.0407839839728796e-06, 0.06580346622931198, 0.15155706961212395, 0.2679991170738436, 0.4353315468123671, 0.6969606153995074, 0.8727485873375158, 1.0]","[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961474, 0.04749829318248318, 0.181459085145811, 0.3045937774309958, 0.45869501609285085, 0.7031600507168634, 0.8531161611235736, 1.0]","[0.0001462986442992295, 0.009753242953281966, 0.024383107383204917, 0.048766214766409834, 0.048766214766409834, 0.07314932214961474, 0.09753242953281967, 0.14629864429922948]"
