,fixed e,fixed e ppl,fixed e all parameters
0,13.396671199999998,6.347,"[13.39667, 1, 1, 547.83703, 103.74649, 1.968]"
1,13.548906099999998,5.24,"[13.54891, 1, 1, 552.78666, 104.04781, 1.98035]"
2,13.701140999999998,4.289,"[13.70114, 1, 1, 553.2241, 103.9777, 1.99326]"
3,13.891434624999999,3.297,"[13.89143, 1, 1, 554.43334, 104.10931, 2.00268]"
4,14.08172825,2.503,"[14.08173, 1, 1, 563.05723, 104.38772, 1.99869]"
5,14.462315499999999,1.457,"[14.46232, 1, 1, 571.82805, 104.6164, 2.01068]"
6,15.22349,0.784,"[15.22349, 1, 1, 585.27583, 105.02814, 2.03687]"
7,15.22349,0.784,"[15.22349, 1, 1, 585.27583, 105.02814, 2.03687]"
8,15.984664500000001,1.463,"[15.98466, 1, 1, 601.8481, 105.342, 2.07554]"
9,16.365251750000002,2.309,"[16.36525, 1, 1, 595.93539, 105.31408, 2.06671]"
10,16.745839000000004,3.501,"[16.74584, 1, 1, 617.61986, 105.86339, 2.09089]"
11,16.936132625000003,4.239,"[16.93613, 1, 1, 623.76001, 106.44797, 2.08922]"
12,17.12642625,5.055,"[17.12643, 1, 1, 622.35543, 106.1985, 2.11165]"
13,17.316719875,5.962,"[17.31672, 1, 1, 627.40048, 105.9496, 2.10988]"
14,17.468954775,6.784,"[17.46895, 1, 1, 594.93334, 105.43577, 2.11236]"
