,b,m,w,b*,m*,w*,chi_sq,r_sq,redchi_sq,success,model,chi_sq_list,Simulation results,x,exp_data,exp_error
0,1,944.2712098103123,0.03711068919199073,1,3454.0172535854877,0.02809664345293321,1.743070220082703,0.9983134859016572,0.29051170334711723,True,<games.models.synTF.synTF object at 0x7f26c23ab8e0>,"[44.77603870967642, 44.77603870949603, 44.77603870949603, 44.77603870949603, 44.775962729607905, 44.776070779750476, 6.594821471652451, 6.5948103628203025, 6.594819086225561, 2.1051806753298465, 2.105179111719515, 2.1051803790481394, 1.7496311477625885, 1.74963099160731, 1.749631115742671, 1.7430742647559536, 1.7430742609577234, 1.743074263898866, 1.743070220082703, 1.7430702204002686, 1.7430702203203756, 1.7430702434796306, 1.743070220082703, 1.743070220082703]","[0.00034359138979696963, 0.06412758510327408, 0.14766804310402298, 0.26186264546486193, 0.427504158809714, 0.6901569210280564, 0.8691590752618958, 1.0]","[0, 2, 5, 10, 20, 50, 100, 200]","[0.0003448224604623193, 0.0553938193085947, 0.16460613606652347, 0.2767864287962984, 0.4179535891496147, 0.721859932665657, 0.9054856575303307, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]"
1,1,182545.25729113442,0.034086135243857806,1,3454.003724012924,0.028096622762697282,1.7430702202181807,0.9983134822040369,0.29051170336969684,True,<games.models.synTF.synTF object at 0x7f26c23ab640>,"[10.449605000412621, 10.44960500020779, 10.44960500020779, 10.44960500020779, 10.449605005274774, 10.449630848906171, 7.216252331486493, 7.216252324155127, 7.216252579911603, 1.7765086910924466, 1.7765035579518547, 1.7765081959109903, 1.74315547568172, 1.7431552398397094, 1.7431554820437198, 1.7430702302308307, 1.7430702281022392, 1.7430702300975507, 1.7430702202181807, 1.7430702202181807, 1.7430702202181807]","[0.0003435927735579336, 0.0641275491312778, 0.14766796599881196, 0.26186252638285584, 0.4275040079400515, 0.6901567896269826, 0.8691590056971523, 1.0]","[0, 2, 5, 10, 20, 50, 100, 200]","[0.0003448224604623193, 0.0553938193085947, 0.16460613606652347, 0.2767864287962984, 0.4179535891496147, 0.721859932665657, 0.9054856575303307, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]"
2,1,1641.875787052164,0.046279789084236106,1,3454.073078485977,0.028096719076198068,1.7430702240636329,0.9983134994112451,0.2905117040106055,True,<games.models.synTF.synTF object at 0x7f26c23aad40>,"[35.09965166095735, 35.09965166092362, 35.09965166092362, 35.09965166092362, 35.099638987385674, 35.0997253085869, 2.262832005722823, 2.262829990801184, 2.262831462094977, 1.754211820132282, 1.7542116164617052, 1.7542120214870895, 1.743080935275678, 1.7430809291321288, 1.7430809282442048, 1.7430702240636329, 1.7430702243780762, 1.743070224820096, 1.7430702361908617, 1.7430702240636329, 1.7430702240636329]","[0.0003435856983878748, 0.06412771598807264, 0.14766832438407138, 0.26186308024263083, 0.42750470987638023, 0.6901574010749135, 0.8691593293224494, 1.0]","[0, 2, 5, 10, 20, 50, 100, 200]","[0.0003448224604623193, 0.0553938193085947, 0.16460613606652347, 0.2767864287962984, 0.4179535891496147, 0.721859932665657, 0.9054856575303307, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]"
3,1,406589.5779446999,0.024351443518965576,1,3453.957838272463,0.02809664025193961,1.7430702243317173,0.9983134853047962,0.2905117040552862,True,<games.models.synTF.synTF object at 0x7f26c23ab7c0>,"[8.815659854830246, 8.815659855116957, 8.815659855116957, 8.815659855116957, 8.815659855390557, 8.815642157929641, 7.047165324864387, 7.047165744196535, 7.047173384182609, 7.212294473966756, 7.212294473966756, 7.287837697979154, 6.998803359770899, 6.998803010593287, 6.9988095933520205, 26.431367619001335, 6.897360112626413, 6.897359647595054, 6.897366270983455, 6.585157524882032, 6.585156636157139, 6.585163592994447, 5.967472168502069, 5.967470221818964, 5.967478041286798, 4.92982607515241, 4.929821994011868, 4.9298315663921235, 3.221517639497462, 3.2215100992272756, 3.2215220773033844, 1.7639724333736684, 1.76397191648666, 1.763974413661189, 1.743080774393715, 1.743080780930947, 1.7430807294235695, 1.7430702317030027, 1.7430702322002423, 1.7430702327631267, 1.7430702243317173, 1.7430702243317173, 1.7430702243317173]","[0.000343597304191654, 0.06412758487463666, 0.14766803603529358, 0.26186263125073284, 0.427504138734097, 0.690156901824885, 0.8691590651162507, 1.0]","[0, 2, 5, 10, 20, 50, 100, 200]","[0.0003448224604623193, 0.0553938193085947, 0.16460613606652347, 0.2767864287962984, 0.4179535891496147, 0.721859932665657, 0.9054856575303307, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]"
4,1,18816.326109698486,0.020832101509522014,1,3454.0869337620506,0.02809659511521043,1.7430702244406246,0.9983134772899591,0.29051170407343746,True,<games.models.synTF.synTF object at 0x7f26c23ab940>,"[11.766463793213326, 11.76646379324311, 11.76646379324311, 11.76646379324311, 11.766464053460636, 11.76642953323464, 5.795808764760589, 5.795808511404336, 5.79580986269433, 6.866521956619099, 6.866521956619099, 24.624868769455276, 5.40638315211683, 5.406382803954947, 5.406384201424441, 4.047484830537283, 4.047484127474904, 4.047485899567054, 2.173005315377936, 2.173004460253062, 2.1730061405490604, 1.8074902439687597, 1.8074908665168505, 1.8074901212088479, 1.743374222960166, 1.7433742600635376, 1.7433742167224056, 1.7430702522525205, 1.7430702527878386, 1.743070252422157, 1.7430702244406246, 1.7430702244406246, 1.7430702244406246]","[0.0003435845504209243, 0.064127491634067, 0.1476678543789663, 0.2618623598220653, 0.4275038005691023, 0.6901566114713996, 0.8691589116973037, 1.0]","[0, 2, 5, 10, 20, 50, 100, 200]","[0.0003448224604623193, 0.0553938193085947, 0.16460613606652347, 0.2767864287962984, 0.4179535891496147, 0.721859932665657, 0.9054856575303307, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]"
5,1,73780.80179355161,0.007612281983243991,1,3453.938631085403,0.028096660301753354,1.7430702248190326,0.9983134888794476,0.2905117041365055,True,<games.models.synTF.synTF object at 0x7f26c23ab970>,"[75.24339966025998, 75.24339966014243, 75.24339966014243, 75.24339966014243, 75.24339970176071, 75.24330080142192, 7.869105670670497, 7.869105671213796, 7.869116883152391, 7.18668644455714, 7.186686404351596, 7.186686386345848, 7.059095067844706, 7.0590952280506345, 7.059094993398743, 7.206728074569982, 7.137302456547413, 172.32719500787078, 2.1373252106129117, 2.1373369006265968, 2.1373256796410787, 1.794037257445946, 1.7940295672829292, 1.7940371544598002, 1.7432670328185476, 1.7432666126237066, 1.743267027705121, 1.7430702364234496, 1.7430702341695758, 1.743070236357738, 1.7430702248190326, 1.7430702248190326, 1.7430702248190326]","[0.0003435991770972558, 0.06412762274189271, 0.14766811349388825, 0.26186274901953677, 0.4275042867749117, 0.6901570300021748, 0.8691591328423397, 1.0]","[0, 2, 5, 10, 20, 50, 100, 200]","[0.0003448224604623193, 0.0553938193085947, 0.16460613606652347, 0.2767864287962984, 0.4179535891496147, 0.721859932665657, 0.9054856575303307, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]"
6,1,316341.8549684434,0.012983889756251097,1,3453.930059132767,0.028096669771898324,1.743070225254722,0.9983134905677341,0.29051170420912037,True,<games.models.synTF.synTF object at 0x7f26c23ab700>,"[39.59724272231525, 39.597242722310334, 39.597242722310334, 39.597242722310334, 39.597242723739704, 39.5971687241259, 7.369069832510177, 7.369069856008457, 7.369075377139348, 7.00666049395692, 7.006657550652031, 7.00666034562806, 7.226232655579194, 7.226232655579194, 7.2222947738925365, 7.204167641703769, 7.200345777409631, 6.191103157998413, 6.191129457156844, 6.191103136729814, 1.9788613916722015, 1.9789943963078178, 1.9788617351504652, 1.756211735419539, 1.756164010591605, 1.75621168483296, 1.743085195231946, 1.7430838407086802, 1.7430851934753027, 1.7430703296993733, 1.7430702464423369, 1.7430703300855686, 1.743070225254722, 1.743070225254722, 1.743070225254722]","[0.00034360001199285143, 0.06412764058118614, 0.14766815003752753, 0.2618628046085794, 0.4275043566706244, 0.6901570905238267, 0.8691591648262265, 1.0]","[0, 2, 5, 10, 20, 50, 100, 200]","[0.0003448224604623193, 0.0553938193085947, 0.16460613606652347, 0.2767864287962984, 0.4179535891496147, 0.721859932665657, 0.9054856575303307, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]"
7,1,514845.7904313375,0.015202461663647878,1,3453.912955252432,0.028096643843887645,1.7430702264902151,0.9983134859350326,0.2905117044150358,True,<games.models.synTF.synTF object at 0x7f26c23aace0>,"[29.7023598055551, 29.70235980409761, 29.70235980409761, 29.70235980409761, 29.702359818143293, 29.702297031353922, 7.221514856825147, 7.221514856987948, 7.221517592508634, 7.201332222617338, 7.201332218954847, 7.201331155193798, 4.0029588042897455, 4.002965368173374, 4.002958249126642, 1.8643051210338772, 1.8643060211028508, 1.8643049514145995, 1.7440311737123415, 1.7440312402993212, 1.7440311619445203, 1.7430703560800966, 1.743070356805618, 1.7430703560071739, 1.7430702264902151, 1.7430702264902151, 1.7430702264902151]","[0.0003436017609883852, 0.06412759551688489, 0.14766805342594755, 0.2618626553921927, 0.4275041676171484, 0.6901569258665856, 0.869159077676783, 1.0]","[0, 2, 5, 10, 20, 50, 100, 200]","[0.0003448224604623193, 0.0553938193085947, 0.16460613606652347, 0.2767864287962984, 0.4179535891496147, 0.721859932665657, 0.9054856575303307, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]"
8,1,30769.459494058934,0.04974200522810351,1,3453.906470589181,0.02809663762414204,1.7430702264983522,0.9983134848249702,0.29051170441639207,True,<games.models.synTF.synTF object at 0x7f26c23aba00>,"[43.81146851970451, 43.81146852316658, 43.81146852316658, 43.81146852316658, 43.81146870372124, 43.811555259631284, 7.300387318812696, 7.30038731035625, 7.300393087283639, 7.042686094994089, 7.042686136129958, 7.042685941761002, 7.225375130956306, 7.126873055161324, 114.86311109612136, 6.991822297371592, 6.991822353676833, 6.991822216673866, 6.8119936259654565, 6.811993746848807, 6.811993612306594, 4.588174040226421, 4.588175591596685, 4.588174325965426, 134.26669094210638, 4.2081761093959935, 4.208177948147263, 4.208176423094199, 3.4693634209603483, 3.4693657686487676, 3.4693637702318876, 2.281492458780986, 2.2814950000760756, 2.281492768230145, 1.869645822911526, 1.8696431256969637, 1.8696456587266082, 1.7438395374960696, 1.7438393668536971, 1.743839542050599, 1.7430702975441954, 1.743070296101491, 1.743070297162544, 1.7430702264983522, 1.7430702264983522, 1.7430702264983522]","[0.0003436024174042439, 0.06412758492841765, 0.14766803045231747, 0.26186261977247116, 0.4275041224013802, 0.6901568864540399, 0.8691590568266944, 1.0]","[0, 2, 5, 10, 20, 50, 100, 200]","[0.0003448224604623193, 0.0553938193085947, 0.16460613606652347, 0.2767864287962984, 0.4179535891496147, 0.721859932665657, 0.9054856575303307, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]"
9,1,3415.873902443813,0.02418242912122693,1,3453.89373612416,0.02809666556339699,1.743070227724245,0.9983134898081438,0.2905117046207075,True,<games.models.synTF.synTF object at 0x7f26c23ab790>,"[3.477459373317181, 3.477459441255172, 3.477459441255172, 3.477459441255172, 3.4774593125607827, 3.477441292592101, 1.744706770020478, 1.744706747780965, 1.7447073024342428, 1.743071015195764, 1.743071015108751, 1.7430710030846601, 1.743070227724245, 1.7430702280754862, 1.743070227988203, 1.7430702781228493, 1.743070227724245, 1.743070227724245]","[0.0003436036320355076, 0.06412763638986142, 0.1476681372005123, 0.2618627828519151, 0.4275043278953259, 0.6901570646663869, 0.8691591510472254, 1.0]","[0, 2, 5, 10, 20, 50, 100, 200]","[0.0003448224604623193, 0.0553938193085947, 0.16460613606652347, 0.2767864287962984, 0.4179535891496147, 0.721859932665657, 0.9054856575303307, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]"
