,b,m,w,x,exp_data,exp_error,chi_sq,normalized solutions
0,1,1641.875787052164,0.046279789084236106,"[0, 2, 5, 10, 20, 50, 100, 200]","[0.001439142123094733, 0.08151717983346239, 0.21123390393454733, 0.30400362422263394, 0.49189668366501393, 0.7849680508204676, 0.8992431578205431, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]",31.075769086050066,"[0.0006793012400272247, 0.09602777186231992, 0.21145397395468976, 0.354148344550842, 0.5353460407487752, 0.7740798757332983, 0.910659243792184, 1.0]"
1,1,3415.873902443813,0.02418242912122693,"[0, 2, 5, 10, 20, 50, 100, 200]","[0.001439142123094733, 0.08151717983346239, 0.21123390393454733, 0.30400362422263394, 0.49189668366501393, 0.7849680508204676, 0.8992431578205431, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]",80.08833699161123,"[0.0003559376729237858, 0.05703248408012246, 0.13259783942095718, 0.23840908239398767, 0.39726868268772897, 0.6630064594763938, 0.8544643451514908, 1.0]"
2,1,6364.384643517292,0.028656325656849786,"[0, 2, 5, 10, 20, 50, 100, 200]","[0.001439142123094733, 0.08151717983346239, 0.21123390393454733, 0.30400362422263394, 0.49189668366501393, 0.7849680508204676, 0.8992431578205431, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]",86.44648808886109,"[0.00018594757615679713, 0.06498712226857024, 0.14964619715129207, 0.2649810113172108, 0.4314872155832016, 0.6936309322340785, 0.8709965820549168, 1.0]"
3,1,30769.459494058934,0.04974200522810351,"[0, 2, 5, 10, 20, 50, 100, 200]","[0.001439142123094733, 0.08151717983346239, 0.21123390393454733, 0.30400362422263394, 0.49189668366501393, 0.7849680508204676, 0.8992431578205431, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]",99.51323675037666,"[3.602084757876588e-05, 0.10121445267211253, 0.22195905003590471, 0.3686706543685009, 0.5510413211163915, 0.7849319646324204, 0.9156457280873743, 1.0]"
4,1,182545.25729113442,0.034086135243857806,"[0, 2, 5, 10, 20, 50, 100, 200]","[0.001439142123094733, 0.08151717983346239, 0.21123390393454733, 0.30400362422263394, 0.49189668366501393, 0.7849680508204676, 0.8992431578205431, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]",100.36404672891783,"[6.3298101278556176e-06, 0.0744748495147484, 0.1694452783530194, 0.2947910065977523, 0.46803685550233054, 0.7239454278739128, 0.8865530798759133, 1.0]"
5,1,1136.6676086487291,0.010588019006241463,"[0, 2, 5, 10, 20, 50, 100, 200]","[0.001439142123094733, 0.08151717983346239, 0.21123390393454733, 0.30400362422263394, 0.49189668366501393, 0.7849680508204676, 0.8992431578205431, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]",105.63507355118045,"[0.0013021792616036752, 0.03234370736998009, 0.07648751198108063, 0.14425190405444713, 0.26153938204261223, 0.5140890332197402, 0.7598509853659604, 1.0]"
6,1,465.50549113275827,0.07756203982891632,"[0, 2, 5, 10, 20, 50, 100, 200]","[0.001439142123094733, 0.08151717983346239, 0.21123390393454733, 0.30400362422263394, 0.49189668366501393, 0.7849680508204676, 0.8992431578205431, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]",115.54803788977374,"[0.00229582381535126, 0.14688179148382652, 0.3017770065234671, 0.46837904880806897, 0.6485678275098211, 0.8453332262008817, 0.9418959410423403, 1.0]"
7,1,406589.5779446999,0.024351443518965576,"[0, 2, 5, 10, 20, 50, 100, 200]","[0.001439142123094733, 0.08151717983346239, 0.21123390393454733, 0.30400362422263394, 0.49189668366501393, 0.7849680508204676, 0.8992431578205431, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]",121.35888695480553,"[2.9878287729417704e-06, 0.057008874545580554, 0.1329543932164656, 0.23918527971395837, 0.3984296513189739, 0.664160557595662, 0.8551171522569867, 1.0]"
8,1,18816.326109698486,0.020832101509522014,"[0, 2, 5, 10, 20, 50, 100, 200]","[0.001439142123094733, 0.08151717983346239, 0.21123390393454733, 0.30400362422263394, 0.49189668366501393, 0.7849680508204676, 0.8992431578205431, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]",126.57320912948458,"[6.641461925461066e-05, 0.05058329222215531, 0.11898850160674981, 0.2168465301755895, 0.368473563706197, 0.6354705234767817, 0.8388642780837798, 1.0]"
9,1,514845.7904313375,0.015202461663647878,"[0, 2, 5, 10, 20, 50, 100, 200]","[0.001439142123094733, 0.08151717983346239, 0.21123390393454733, 0.30400362422263394, 0.49189668366501393, 0.7849680508204676, 0.8992431578205431, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]",166.1925242726302,"[2.6006362358503342e-06, 0.03994684032710037, 0.0954945697928669, 0.17801680527950084, 0.31350358797083944, 0.5773727312013933, 0.8033280558527214, 1.0]"
