,b,m,w,x,exp_data,exp_error,dataID,weight_by_error,parameter_labels,chi_sq,normalized solutions
0,1,176205.98446644773,0.9511305128847686,"[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961, 0.0474982931824832, 0.181459085145811, 0.304593777430996, 0.458695016092851, 0.703160050716863, 0.853116161123574, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]",synTF dose response,yes,"['b', 'm', 'w']",4887.6216,"[5.71703814030813e-06, 0.6561356603032583, 0.8258491984175753, 0.9050110110143983, 0.9514679364821265, 0.9826317279500121, 0.9939569644035656, 1.0]"
1,1,20443.507714816293,0.0004374590843851934,"[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961, 0.0474982931824832, 0.181459085145811, 0.304593777430996, 0.458695016092851, 0.703160050716863, 0.853116161123574, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]",synTF dose response,yes,"['b', 'm', 'w']",178.9709,"[0.000602065512440852, 0.011491002384995537, 0.027787501175436737, 0.05485036171001441, 0.10861168068144371, 0.26703890098834143, 0.5219354870702966, 1.0]"
2,1,958.0850168164776,0.0008807330223345632,"[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961, 0.0474982931824832, 0.181459085145811, 0.304593777430996, 0.458695016092851, 0.703160050716863, 0.853116161123574, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]",synTF dose response,yes,"['b', 'm', 'w']",1921.0544,"[0.006873799890838033, 0.018592946756805197, 0.03609188239463458, 0.06504595129036149, 0.12217633371806612, 0.2875911135369875, 0.5448680472072803, 1.0]"
3,1,1655.1769614050343,3.9744955685684618,"[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961, 0.0474982931824832, 0.181459085145811, 0.304593777430996, 0.458695016092851, 0.703160050716863, 0.853116161123574, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]",synTF dose response,yes,"['b', 'm', 'w']",8665.9268,"[0.0006051804385961371, 0.8837412333451309, 0.9487983238948039, 0.9734161962106883, 0.9866621797353762, 0.9952129706557125, 0.9983136464812372, 1.0]"
4,1,1.5874186488860162,0.00011951343548164577,"[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961, 0.0474982931824832, 0.181459085145811, 0.304593777430996, 0.458695016092851, 0.703160050716863, 0.853116161123574, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]",synTF dose response,yes,"['b', 'm', 'w']",43351800.4445,"[0.9638792076091317, 0.9642492651764623, 0.9648040066219985, 0.9657276535810216, 0.9675715450512737, 0.9730759629681819, 0.9821603055562966, 1.0]"
5,1,103.64676918587871,13.437483150318895,"[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961, 0.0474982931824832, 0.181459085145811, 0.304593777430996, 0.458695016092851, 0.703160050716863, 0.853116161123574, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]",synTF dose response,yes,"['b', 'm', 'w']",13825.4633,"[0.009564703408301728, 0.9604301024302526, 0.9829833291570655, 0.9911308702881083, 0.9954855117005659, 0.998334701888054, 0.9993997356447282, 1.0]"
6,1,17.66457769362916,0.0033770547176252435,"[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961, 0.0474982931824832, 0.181459085145811, 0.304593777430996, 0.458695016092851, 0.703160050716863, 0.853116161123574, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]",synTF dose response,yes,"['b', 'm', 'w']",701037.0307,"[0.12321348277592523, 0.13798806833727598, 0.1597692060309757, 0.19509031753446526, 0.2622722176908122, 0.43986109729870687, 0.6746713062970306, 1.0]"
7,1,10.009822936803795,0.008468481167771366,"[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961, 0.0474982931824832, 0.181459085145811, 0.304593777430996, 0.458695016092851, 0.703160050716863, 0.853116161123574, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]",synTF dose response,yes,"['b', 'm', 'w']",877895.5346,"[0.13779599998172623, 0.16103200631882728, 0.19442271118613225, 0.24648812331551107, 0.33898662509327643, 0.5490285113541609, 0.7688967704455926, 1.0]"
8,1,9172.713638000561,0.03571132648315668,"[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961, 0.0474982931824832, 0.181459085145811, 0.304593777430996, 0.458695016092851, 0.703160050716863, 0.853116161123574, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]",synTF dose response,yes,"['b', 'm', 'w']",27.1189,"[0.00012521437217846945, 0.07743417571095346, 0.1753289929147614, 0.30335591197468126, 0.4781487257716292, 0.7319086421797791, 0.8905100149245231, 1.0]"
9,1,335313.1544831501,0.39078606411197137,"[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961, 0.0474982931824832, 0.181459085145811, 0.304593777430996, 0.458695016092851, 0.703160050716863, 0.853116161123574, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]",synTF dose response,yes,"['b', 'm', 'w']",2282.2316,"[3.0302501355534573e-06, 0.4450180935773747, 0.6678250685180446, 0.8027690341119386, 0.8941130197711932, 0.9610105639488441, 0.9863567781434535, 1.0]"
