,fixed m,fixed m ppl,fixed m all parameters
0,890.8208540000002,22.366,"[1, 890.82085, 0.03053]"
1,1052.7882820000002,13.147,"[1, 1052.78828, 0.02988]"
2,1214.7557100000001,8.775,"[1, 1214.75571, 0.02949]"
3,1376.723138,6.811,"[1, 1376.72314, 0.02925]"
4,1619.67428,6.044,"[1, 1619.67428, 0.02903]"
5,1619.67428,6.044,"[1, 1619.67428, 0.02903]"
6,2105.576564,7.362,"[1, 2105.57656, 0.02886]"
7,2591.4788479999997,9.527,"[1, 2591.47885, 0.02882]"
8,3077.3811319999995,11.606,"[1, 3077.38113, 0.02882]"
9,3563.2834159999993,13.421,"[1, 3563.28342, 0.02883]"
10,4049.185699999999,14.973,"[1, 4049.1857, 0.02885]"
11,4535.087983999999,16.296,"[1, 4535.08798, 0.02887]"
