,b,m,w,x,exp_data,exp_error,chi_sq,normalized solutions
0,1,6364.384643517292,0.028656325656849786,"[0, 2, 5, 10, 20, 50, 100, 200]","[3.9999908963050716e-05, 0.07134874787652583, 0.16989460085899655, 0.2707868451172141, 0.41178942085263476, 0.7970537048138575, 0.924300324926869, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]",4.585267934177744,"[0.00018594757615679713, 0.06498712226857024, 0.14964619715129207, 0.2649810113172108, 0.4314872155832016, 0.6936309322340785, 0.8709965820549168, 1.0]"
1,1,406589.5779446999,0.024351443518965576,"[0, 2, 5, 10, 20, 50, 100, 200]","[3.9999908963050716e-05, 0.07134874787652583, 0.16989460085899655, 0.2707868451172141, 0.41178942085263476, 0.7970537048138575, 0.924300324926869, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]",8.819566316960024,"[2.9878287729417704e-06, 0.057008874545580554, 0.1329543932164656, 0.23918527971395837, 0.3984296513189739, 0.664160557595662, 0.8551171522569867, 1.0]"
2,1,3415.873902443813,0.02418242912122693,"[0, 2, 5, 10, 20, 50, 100, 200]","[3.9999908963050716e-05, 0.07134874787652583, 0.16989460085899655, 0.2707868451172141, 0.41178942085263476, 0.7970537048138575, 0.924300324926869, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]",13.558192589322152,"[0.0003559376729237858, 0.05703248408012246, 0.13259783942095718, 0.23840908239398767, 0.39726868268772897, 0.6630064594763938, 0.8544643451514908, 1.0]"
3,1,18816.326109698486,0.020832101509522014,"[0, 2, 5, 10, 20, 50, 100, 200]","[3.9999908963050716e-05, 0.07134874787652583, 0.16989460085899655, 0.2707868451172141, 0.41178942085263476, 0.7970537048138575, 0.924300324926869, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]",16.583547776761133,"[6.641461925461066e-05, 0.05058329222215531, 0.11898850160674981, 0.2168465301755895, 0.368473563706197, 0.6354705234767817, 0.8388642780837798, 1.0]"
4,1,30769.459494058934,0.04974200522810351,"[0, 2, 5, 10, 20, 50, 100, 200]","[3.9999908963050716e-05, 0.07134874787652583, 0.16989460085899655, 0.2707868451172141, 0.41178942085263476, 0.7970537048138575, 0.924300324926869, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]",26.154835467754708,"[3.602084757876588e-05, 0.10121445267211253, 0.22195905003590471, 0.3686706543685009, 0.5510413211163915, 0.7849319646324204, 0.9156457280873743, 1.0]"
5,1,1641.875787052164,0.046279789084236106,"[0, 2, 5, 10, 20, 50, 100, 200]","[3.9999908963050716e-05, 0.07134874787652583, 0.16989460085899655, 0.2707868451172141, 0.41178942085263476, 0.7970537048138575, 0.924300324926869, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]",37.86287373547157,"[0.0006793012400272247, 0.09602777186231992, 0.21145397395468976, 0.354148344550842, 0.5353460407487752, 0.7740798757332983, 0.910659243792184, 1.0]"
6,1,514845.7904313375,0.015202461663647878,"[0, 2, 5, 10, 20, 50, 100, 200]","[3.9999908963050716e-05, 0.07134874787652583, 0.16989460085899655, 0.2707868451172141, 0.41178942085263476, 0.7970537048138575, 0.924300324926869, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]",37.980291829449705,"[2.6006362358503342e-06, 0.03994684032710037, 0.0954945697928669, 0.17801680527950084, 0.31350358797083944, 0.5773727312013933, 0.8033280558527214, 1.0]"
7,1,316341.8549684434,0.012983889756251097,"[0, 2, 5, 10, 20, 50, 100, 200]","[3.9999908963050716e-05, 0.07134874787652583, 0.16989460085899655, 0.2707868451172141, 0.41178942085263476, 0.7970537048138575, 0.924300324926869, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]",50.18319511986288,"[4.410168611444142e-06, 0.0357101538912663, 0.0858973857775828, 0.16162342382652095, 0.2890643328129659, 0.5489274651103253, 0.7844975650948116, 1.0]"
8,1,944.2712098103123,0.03711068919199073,"[0, 2, 5, 10, 20, 50, 100, 200]","[3.9999908963050716e-05, 0.07134874787652583, 0.16989460085899655, 0.2707868451172141, 0.41178942085263476, 0.7970537048138575, 0.924300324926869, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]",68.85603097428076,"[0.001209340600107101, 0.0808705800248606, 0.18113288481304668, 0.31124037502767427, 0.48705193697511734, 0.7386571407971095, 0.8938031340018848, 1.0]"
9,1,73780.80179355161,0.007612281983243991,"[0, 2, 5, 10, 20, 50, 100, 200]","[3.9999908963050716e-05, 0.07134874787652583, 0.16989460085899655, 0.2707868451172141, 0.41178942085263476, 0.7970537048138575, 0.924300324926869, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]",92.44987104539346,"[2.257692022028307e-05, 0.025290707986140505, 0.06175635800479669, 0.1189831571146908, 0.2217662240808582, 0.46058318587166774, 0.7189084679022467, 1.0]"
