,b,m,w,b*,m*,w*,chi_sq,r_sq,redchi_sq,success,model,chi_sq_list,Simulation results,x,exp_data,exp_error
0,1,182545.25729113442,0.034086135243857806,1,787.0350236947025,0.03983001075304099,1.3546772100611153,0.997987412626558,0.22577953501018586,True,<games.models.synTF.synTF object at 0x7f26ee862800>,"[100.36404672891783, 100.36404672902297, 100.36404672902297, 100.36404672902297, 100.36404674998622, 100.3640221480902, 97.5275484752232, 97.52755007381943, 97.52755138954005, 60.66249977800579, 60.66380341461326, 60.66250340067196, 44.26459420704919, 44.26247433847923, 44.26459611346958, 11796062.369944861, 19.240780079267854, 19.237728723275644, 19.240782377473888, 2.038680098884422, 2.0402426795459605, 2.0386783626131457, 1.3567508731735158, 1.3568284346380437, 1.3567508205850793, 1.3546772355190366, 1.3546782050797308, 1.354677235334474, 1.3546772100611153, 1.3546772100611153, 1.3546772100611153]","[0.0014387239423465966, 0.08577640634698198, 0.19068954363493457, 0.3248298720705859, 0.5026123876420024, 0.7503958735035933, 0.8994861278294828, 1.0]","[0, 2, 5, 10, 20, 50, 100, 200]","[0.001439142123094733, 0.08151717983346239, 0.21123390393454733, 0.30400362422263394, 0.49189668366501393, 0.7849680508204676, 0.8992431578205431, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]"
1,1,406589.5779446999,0.024351443518965576,1,787.0350344208113,0.03983000557395523,1.3546772100643385,0.9979874126898846,0.2257795350107231,True,<games.models.synTF.synTF object at 0x7f26ee8403a0>,"[121.35888695480553, 121.35888695633716, 121.35888695633716, 121.35888695633716, 121.35888695725072, 121.35882077253268, 102.12301059496308, 102.12301056406737, 102.1230394415099, 97.49281347033569, 97.49281553574056, 97.49281398516509, 63.57259025156612, 63.57219135288328, 63.57261777748881, 39.118595852074726, 39.11930203441799, 39.118598030420166, 14233.35567965603, 16.303109815294174, 16.304024243783303, 16.303112052987313, 2.771224498129627, 2.7705183398573854, 2.7712223634881936, 1.3627064648030298, 1.3626610883038808, 1.3627063564256425, 1.3546775707346588, 1.354677332848064, 1.3546775700395772, 1.3546772100643385, 1.3546772100643385, 1.3546772100643385]","[0.001438723943852879, 0.08577639745453032, 0.19068952600315744, 0.3248298470019912, 0.5026123591372894, 0.7503958522765025, 0.8994861176394666, 1.0]","[0, 2, 5, 10, 20, 50, 100, 200]","[0.001439142123094733, 0.08151717983346239, 0.21123390393454733, 0.30400362422263394, 0.49189668366501393, 0.7849680508204676, 0.8992431578205431, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]"
2,1,1136.6676086487291,0.010588019006241463,1,787.035076693074,0.03983000779641167,1.354677210066833,0.9979874126626938,0.22577953501113887,True,<games.models.synTF.synTF object at 0x7f26ee8a3e50>,"[105.63507355118045, 105.63507355143952, 105.63507355143952, 105.63507355143952, 105.63508681833541, 105.63495559011086, 51.81673577344695, 51.816466630294315, 51.81672893043755, 4.386990738851324, 4.386953537961558, 4.38698813051063, 1.3864648294968183, 1.3864617723372956, 1.3864646074169096, 1.3546827395103622, 1.354682700321606, 1.3546827366488627, 1.3546772100798312, 1.35467721013889, 1.3546772101391595, 1.354677210066833, 1.354677210066833, 1.354677210066833]","[0.0014387238576406731, 0.08577640119212823, 0.19068953349997161, 0.32482985770159006, 0.5026123713268411, 0.7503958613639072, 0.8994861220035729, 1.0]","[0, 2, 5, 10, 20, 50, 100, 200]","[0.001439142123094733, 0.08151717983346239, 0.21123390393454733, 0.30400362422263394, 0.49189668366501393, 0.7849680508204676, 0.8992431578205431, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]"
3,1,3415.873902443813,0.02418242912122693,1,787.0350362158175,0.03983000697625788,1.3546772100689253,0.9979874126727124,0.2257795350114876,True,<games.models.synTF.synTF object at 0x7f26ee862920>,"[80.08833699161123, 80.08833597752765, 80.08833597752765, 80.08833597752765, 80.08835018895955, 80.08827449989302, 10.241031095239421, 10.240999919768829, 10.241035134140615, 3.181585658376759, 3.1816148702815235, 3.1815837315187068, 1.3674969659413623, 1.3674990223027543, 1.3674968252817652, 1.3546781279254358, 1.3546781451150218, 1.354678126785763, 1.3546772100789273, 1.3546772101597526, 1.3546772101316535, 1.3546772100689253, 1.3546772100689253, 1.3546772100689253]","[0.0014387239348680125, 0.08577639985447763, 0.1906895307703586, 0.32482985378404866, 0.5026123668518313, 0.7503958580219784, 0.8994861203982643, 1.0]","[0, 2, 5, 10, 20, 50, 100, 200]","[0.001439142123094733, 0.08151717983346239, 0.21123390393454733, 0.30400362422263394, 0.49189668366501393, 0.7849680508204676, 0.8992431578205431, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]"
4,1,6364.384643517292,0.028656325656849786,1,787.0350831584449,0.03983000260211322,1.354677210069815,0.9979874127262157,0.22577953501163586,True,<games.models.synTF.synTF object at 0x7f26ee840160>,"[86.44648808886109, 86.44648808755872, 86.44648808755872, 86.44648808755872, 86.44649419518215, 86.4464433392619, 93.93896491110195, 49.81190589746415, 49.81188408502716, 49.81188433158754, 485.0157251910827, 43.26490527360687, 43.26488026938521, 43.26488538837743, 30.71852032509888, 30.718489978487707, 30.71850358590201, 10.791410541821655, 10.791379760731326, 10.791399168994193, 2.986629837767643, 2.9866571768682713, 2.986628156154017, 1.3651209277769287, 1.3651227807665853, 1.3651208014419707, 1.3546778219408364, 1.3546778359995042, 1.3546778210371353, 1.354677210069815, 1.354677210153392, 1.3546772101042417, 1.3546772100762348, 1.354677210069815, 1.354677210069815]","[0.0014387238669866461, 0.08577639228074152, 0.19068951582278015, 0.3248298325647046, 0.5026123427421049, 0.7503958400764902, 0.8994861117842249, 1.0]","[0, 2, 5, 10, 20, 50, 100, 200]","[0.001439142123094733, 0.08151717983346239, 0.21123390393454733, 0.30400362422263394, 0.49189668366501393, 0.7849680508204676, 0.8992431578205431, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]"
5,1,1641.875787052164,0.046279789084236106,1,787.0351109292967,0.039830007327763026,1.3546772100703568,0.997987412668421,0.22577953501172618,True,<games.models.synTF.synTF object at 0x7f26ee840460>,"[31.075769086050066, 31.075769086060497, 31.075769086060497, 31.075769086060497, 31.075796867451828, 31.075795287697705, 187.05284780363053, 22.63051611716998, 22.63054603305576, 22.63053896460333, 9.115151140154293, 9.115178479940287, 9.115166667947419, 2.209834155422198, 2.2098164726867764, 2.20983286712344, 1.3578489711284436, 1.3578480232651309, 1.357848901851576, 1.3546772673398004, 1.3546772633999848, 1.3546772670442147, 1.3546772100703568, 1.3546772100703568, 1.3546772100703568]","[0.0014387237970538663, 0.08577640033186627, 0.19068953185527765, 0.3248298553921042, 0.5026123687175948, 0.750395859427952, 0.8994861210750456, 1.0]","[0, 2, 5, 10, 20, 50, 100, 200]","[0.001439142123094733, 0.08151717983346239, 0.21123390393454733, 0.30400362422263394, 0.49189668366501393, 0.7849680508204676, 0.8992431578205431, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]"
6,1,465.50549113275827,0.07756203982891632,1,787.0350454715941,0.03983000895641061,1.3546772100720326,0.9979874126484862,0.22577953501200543,True,<games.models.synTF.synTF object at 0x7f26ee8403d0>,"[115.54803788977374, 115.5480378905741, 115.5480378905741, 115.5480378905741, 115.54782991849382, 115.54815770583063, 3.9667931362958035, 3.966759221263597, 3.9667920230957074, 1.3790792958765012, 1.3790766262917027, 1.3790790941765423, 1.3546804915170119, 1.3546804613431311, 1.354680489362969, 1.3546772100720326, 1.3546772101526738, 1.354677210119987, 1.3546772100846176, 1.3546772100720326, 1.3546772100720326]","[0.0014387239099097216, 0.08577640323200596, 0.190689537491741, 0.32482986335198044, 0.5026123777378163, 0.7503958661312348, 0.8994861242913308, 1.0]","[0, 2, 5, 10, 20, 50, 100, 200]","[0.001439142123094733, 0.08151717983346239, 0.21123390393454733, 0.30400362422263394, 0.49189668366501393, 0.7849680508204676, 0.8992431578205431, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]"
7,1,514845.7904313375,0.015202461663647878,1,787.035033424176,0.03983000814942494,1.3546772100747557,0.9979874126583558,0.22577953501245931,True,<games.models.synTF.synTF object at 0x7f26ee6c04f0>,"[166.1925242726302, 166.19252427054494, 166.19252427054494, 166.19252427054494, 166.19252429107385, 166.1924169441655, 98.05009275313525, 98.0500927533311, 98.05009957039479, 97.92278908535762, 97.92278908960361, 97.9227880260721, 90.75324374084485, 90.7532373852872, 90.75324425555317, 97.94970738346603, 97.91780443735495, 97.4501931661848, 91.80610955600484, 6863782.962365929, 89.077494903854, 89.07748628043937, 89.07749554185423, 84.89115131153838, 84.89113616056812, 84.89115225407006, 76.26207263968648, 76.2620410132763, 76.2620741775832, 60.80112182471411, 60.80105398817455, 60.8011242929935, 33.879689882234594, 33.879554296482205, 33.87969336633152, 3.9676610084776187, 3.96755356788767, 3.9676627227864234, 1.4296490718199313, 1.4296738768422697, 1.4296487246849043, 1.3547070239155639, 1.3547075009187415, 1.3547070172558398, 1.3546772100805966, 1.3546772121632604, 1.354677210125178, 1.3546772100747557, 1.3546772100747557, 1.3546772100747557]","[0.001438723935185698, 0.08577640186929199, 0.19068953476460265, 0.3248298594626196, 0.5026123733087969, 0.7503958628297918, 0.8994861227053742, 1.0]","[0, 2, 5, 10, 20, 50, 100, 200]","[0.001439142123094733, 0.08151717983346239, 0.21123390393454733, 0.30400362422263394, 0.49189668366501393, 0.7849680508204676, 0.8992431578205431, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]"
8,1,30769.459494058934,0.04974200522810351,1,787.035016069587,0.039830011916615726,1.354677210075772,0.9979874126122813,0.2257795350126287,True,<games.models.synTF.synTF object at 0x7f26ef9a71f0>,"[99.51323675037666, 99.5132367511233, 99.5132367511233, 99.5132367511233, 99.5132372929341, 99.51327208907581, 78.54271439512057, 78.54274820793317, 78.54274309854335, 68.00039578019177, 68.00034384936892, 68.00040914617375, 98.40007371610076, 53.20910911006408, 53.20902007589195, 53.209122218808425, 26.826394605845767, 26.826244207736, 26.82640636173018, 1.623833003618587, 1.6237969546699813, 1.623837260793186, 1.3549452237761992, 1.354946648414015, 1.3549451864029223, 1.3546772105658305, 1.35467721424926, 1.3546772106709846, 1.354677210075772, 1.354677210075772, 1.354677210075772]","[0.0014387239515282046, 0.08577640835354738, 0.19068954760394677, 0.32482987770913435, 0.502612394052217, 0.7503958782748372, 0.8994861301200022, 1.0]","[0, 2, 5, 10, 20, 50, 100, 200]","[0.001439142123094733, 0.08151717983346239, 0.21123390393454733, 0.30400362422263394, 0.49189668366501393, 0.7849680508204676, 0.8992431578205431, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]"
9,1,18816.326109698486,0.020832101509522014,1,787.0350206832342,0.03983000402865778,1.354677210076137,0.9979874127087465,0.22577953501268958,True,<games.models.synTF.synTF object at 0x7f26ee840400>,"[126.57320912948458, 126.57320912956784, 126.57320912956784, 126.57320912956784, 126.57321040779887, 126.57312867412097, 97.9188860869535, 97.91888608384347, 97.91888656436821, 97.2780737989176, 97.27807373616918, 97.27807382302947, 97.91210139268902, 96.48564992812767, 96.48565000303752, 96.48564997266843, 97.27809987327083, 6.754657772455951, 6.754629952579167, 6.754661430678299, 1.8076160580330964, 1.8076293141062514, 1.807615160011011, 1.3556368615676653, 1.3556374175951187, 1.355636823473189, 1.3546772136004728, 1.354677214736624, 1.3546772136316785, 1.354677210076137, 1.354677210076137, 1.354677210076137]","[0.0014387239752208277, 0.08577639482957128, 0.19068952076737175, 0.32482983954310735, 0.5026123506483303, 0.7503958459503494, 0.899486114601983, 1.0]","[0, 2, 5, 10, 20, 50, 100, 200]","[0.001439142123094733, 0.08151717983346239, 0.21123390393454733, 0.30400362422263394, 0.49189668366501393, 0.7849680508204676, 0.8992431578205431, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]"
