,b,m,w,x,exp_data,exp_error,dataID,weight_by_error,parameter_labels,chi_sq,normalized solutions
0,1,176205.98446644773,0.9511305128847686,"[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961, 0.0474982931824832, 0.181459085145811, 0.304593777430996, 0.458695016092851, 0.703160050716863, 0.853116161123574, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]",synTF dose response,yes,"['b', 'm', 'w']",4887.6216,"[5.717038140308007e-06, 0.6561356603008677, 0.8258491984169727, 0.905011011028533, 0.9514679364822477, 0.9826317279499636, 0.9939569644038715, 1.0]"
1,1,20443.507714816293,0.0004374590843851934,"[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961, 0.0474982931824832, 0.181459085145811, 0.304593777430996, 0.458695016092851, 0.703160050716863, 0.853116161123574, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]",synTF dose response,yes,"['b', 'm', 'w']",178.9709,"[0.0006020655124406631, 0.011491002384996365, 0.027787501175436612, 0.05485036171013563, 0.10861168067555234, 0.267038900987668, 0.521935487070295, 1.0]"
2,1,958.0850168164776,0.0008807330223345632,"[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961, 0.0474982931824832, 0.181459085145811, 0.304593777430996, 0.458695016092851, 0.703160050716863, 0.853116161123574, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]",synTF dose response,yes,"['b', 'm', 'w']",1921.0544,"[0.006873799890835909, 0.018592946756771325, 0.0360918823946261, 0.06504595129036152, 0.12217633371795823, 0.28759111353699424, 0.5448680472072794, 1.0]"
3,1,1655.1769614050343,3.9744955685684618,"[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961, 0.0474982931824832, 0.181459085145811, 0.304593777430996, 0.458695016092851, 0.703160050716863, 0.853116161123574, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]",synTF dose response,yes,"['b', 'm', 'w']",8665.9268,"[0.0006051804385959494, 0.883741233345121, 0.9487983238994041, 0.973416196205334, 0.9866621797354985, 0.9952129706553234, 0.9983136464812379, 1.0]"
4,1,1.5874186488860162,0.00011951343548164577,"[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961, 0.0474982931824832, 0.181459085145811, 0.304593777430996, 0.458695016092851, 0.703160050716863, 0.853116161123574, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]",synTF dose response,yes,"['b', 'm', 'w']",43351800.4442,"[0.9638792076059005, 0.9642492651735303, 0.9648040066135388, 0.9657276535772088, 0.967571545048517, 0.9730759629658745, 0.9821603055534116, 1.0]"
5,1,103.64676918587871,13.437483150318895,"[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961, 0.0474982931824832, 0.181459085145811, 0.304593777430996, 0.458695016092851, 0.703160050716863, 0.853116161123574, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]",synTF dose response,yes,"['b', 'm', 'w']",13825.4633,"[0.009564703408298764, 0.9604301024281265, 0.9829833291570647, 0.9911308702466959, 0.9954855117005634, 0.9983347018880534, 0.9993997356447274, 1.0]"
6,1,17.66457769362916,0.0033770547176252435,"[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961, 0.0474982931824832, 0.181459085145811, 0.304593777430996, 0.458695016092851, 0.703160050716863, 0.853116161123574, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]",synTF dose response,yes,"['b', 'm', 'w']",701037.0307,"[0.12321348277572979, 0.1379880683370999, 0.15976920603079958, 0.19509031754040715, 0.2622722176909602, 0.4398610972980476, 0.6746713064173705, 1.0]"
7,1,10.009822936803795,0.008468481167771366,"[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961, 0.0474982931824832, 0.181459085145811, 0.304593777430996, 0.458695016092851, 0.703160050716863, 0.853116161123574, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]",synTF dose response,yes,"['b', 'm', 'w']",877895.5346,"[0.13779599998168401, 0.16103200631882783, 0.19442271118635263, 0.2464881233155219, 0.3389866250931909, 0.5490285113548311, 0.7688967702854107, 1.0]"
8,1,9172.713638000561,0.03571132648315668,"[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961, 0.0474982931824832, 0.181459085145811, 0.304593777430996, 0.458695016092851, 0.703160050716863, 0.853116161123574, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]",synTF dose response,yes,"['b', 'm', 'w']",27.1189,"[0.00012521437217903595, 0.0774341757113274, 0.17532899291560894, 0.3033559119759099, 0.47814872577379564, 0.7319086421845371, 0.8905100149288223, 1.0]"
9,1,335313.1544831501,0.39078606411197137,"[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961, 0.0474982931824832, 0.181459085145811, 0.304593777430996, 0.458695016092851, 0.703160050716863, 0.853116161123574, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]",synTF dose response,yes,"['b', 'm', 'w']",2282.2316,"[3.030250135552365e-06, 0.44501809357735184, 0.6678250685175913, 0.8027690341117278, 0.894113019771026, 0.961010563948801, 0.986356778143166, 1.0]"
