,b,m,w,b*,m*,w*,chi_sq,r_sq,redchi_sq,success,model,chi_sq_list,Simulation results,x,exp_data,exp_error
0,1,6364.384643517292,0.028656325656849786,1,1619.6741547140298,0.02903411626252101,6.044377643320652,0.996999759753518,1.0073962738867757,True,<games.models.synTF.synTF object at 0x7f2a1a769e40>,"[19.844609410348895, 19.8446094124724, 19.8446094124724, 19.8446094124724, 19.844612037205682, 19.84460810592952, 7.054171967587798, 7.054180404106887, 7.054170722911328, 6.057292630628205, 6.057293382572379, 6.057292525663592, 6.044381151123807, 6.044381163126955, 6.044381149320632, 6.044377643320652, 6.044377643342485, 6.044377643371075, 6.044377643326027, 6.044377643320652, 6.044377643320652]","[0.0007288522259066288, 0.06617299876917142, 0.15152706925411052, 0.2675460561068702, 0.4345106104549803, 0.6961280982537399, 0.8722900440210232, 1.0]","[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961, 0.0474982931824832, 0.181459085145811, 0.304593777430996, 0.458695016092851, 0.703160050716863, 0.853116161123574, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]"
1,1,514845.7904313375,0.015202461663647878,1,1619.674233076216,0.02903411626883773,6.044377643322419,0.9969997597565358,1.00739627388707,True,<games.models.synTF.synTF object at 0x7f2a1a7694e0>,"[56.670670058563815, 56.67067005741321, 56.67067005741321, 56.67067005741321, 56.670670069819536, 56.67060268820075, 30.924626474560473, 30.924626474621427, 30.92463271353488, 30.761072260621614, 30.761072256252376, 30.76107094652398, 30.72780486736292, 30.7278048677622, 30.72780491721205, 13.489773680988463, 13.489768242301706, 13.489777046319622, 93.08410072568955, 7.338080936717826, 7.338075978514471, 7.338082988614843, 6.140592455040753, 6.140594625223368, 6.140592100598828, 6.044549719228422, 6.044549803513401, 6.044549708774891, 6.044377644006049, 6.044377644179576, 6.044377643979621, 6.044377643322419, 6.044377643322419, 6.044377643322419]","[0.0007288521906459876, 0.0661729987475475, 0.15152706924785084, 0.2675460561171175, 0.4345106104801458, 0.6961280982816327, 0.8722900440369779, 1.0]","[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961, 0.0474982931824832, 0.181459085145811, 0.304593777430996, 0.458695016092851, 0.703160050716863, 0.853116161123574, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]"
2,1,406589.5779446999,0.024351443518965576,1,1619.674317567731,0.02903411597708029,6.04437764332255,0.9969997596166503,1.0073962738870919,True,<games.models.synTF.synTF object at 0x7f2a1a76a020>,"[33.3151312104433, 33.31513121146804, 33.31513121146804, 33.31513121146804, 33.315131211729636, 33.31510869761916, 31.173527539682656, 31.173527497705, 31.173537188430288, 30.662462855345204, 30.6624630396785, 30.662463699725134, 30.793848334537493, 30.36860691144521, 30.368606387941107, 30.36860735180847, 30.74715794429832, 30.740758238834772, 28.280083153851947, 28.280089923491847, 28.280083836799502, 21.869415789364158, 21.869457901050026, 21.869415941732463, 16.073910373797126, 16.07399146078342, 16.073912247068744, 8.138523105214912, 8.138623698050589, 8.138524591308382, 6.4110839022628365, 6.411000300626332, 6.411083238730125, 6.0464822442691, 6.046476840403721, 6.046482202110024, 6.044377740417092, 6.044377707569096, 6.044377740146992, 6.04437764332255, 6.04437764332255, 6.04437764332255]","[0.0007288521537322653, 0.06617299818970272, 0.1515270681223903, 0.2675460544223392, 0.4345106083728547, 0.6961280964842224, 0.8722900430960228, 1.0]","[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961, 0.0474982931824832, 0.181459085145811, 0.304593777430996, 0.458695016092851, 0.703160050716863, 0.853116161123574, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]"
3,1,944.2712098103123,0.03711068919199073,1,1619.6738984646488,0.029034115302752815,6.044377643324944,0.9969997592933083,1.007396273887491,True,<games.models.synTF.synTF object at 0x7f2a1a769540>,"[23.14251853731072, 23.142518537075564, 23.142518537075564, 23.142518537075564, 23.14247622371518, 23.142549833908483, 6.7385595203154685, 6.738553423240689, 6.738557632158896, 6.050942086124279, 6.050941604151712, 6.050942044314276, 6.044378576910127, 6.044378571329158, 6.044378574870772, 6.0443776433314245, 6.0443776433454905, 6.044377643427204, 6.044377643324944, 6.044377643324944, 6.044377643324944]","[0.0007288523446869104, 0.06617299715860835, 0.15152706575585592, 0.26754605070797993, 0.4345106036590236, 0.6961280924141947, 0.8722900409578869, 1.0]","[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961, 0.0474982931824832, 0.181459085145811, 0.304593777430996, 0.458695016092851, 0.703160050716863, 0.853116161123574, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]"
4,1,316341.8549684434,0.012983889756251097,1,1619.6743164098398,0.029034115943363296,6.044377643327235,0.9969997596004775,1.0073962738878723,True,<games.models.synTF.synTF object at 0x7f2a1a769e70>,"[67.15554970626819, 67.15554970624079, 67.15554970624079, 67.15554970624079, 67.15554970939436, 67.15547137407547, 31.00629103795665, 31.00629115767309, 31.006298038438658, 30.712026647365477, 30.712027738958092, 30.71202619422335, 30.75840116315442, 11.536851969801518, 11.545349538750719, 11.536849162837111, 6.258647471987175, 6.259724026359155, 6.258646975862542, 6.045160737283207, 6.045219161797496, 6.045160711912744, 6.044377657958021, 6.044378937197869, 6.04437765786053, 6.044377643327235, 6.044377643327235, 6.044377643327235]","[0.0007288521543772969, 0.0661729981297877, 0.15152706799641075, 0.26754605422993005, 0.4345106081318133, 0.6961280962774643, 0.8722900429875416, 1.0]","[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961, 0.0474982931824832, 0.181459085145811, 0.304593777430996, 0.458695016092851, 0.703160050716863, 0.853116161123574, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]"
5,1,3415.873902443813,0.02418242912122693,1,1619.6742795141313,0.029034113357375792,6.044377643327415,0.9969997583604994,1.0073962738879028,True,<games.models.synTF.synTF object at 0x7f2a1a76a0e0>,"[15.290993775492991, 15.290994170462051, 15.290994170462051, 15.290994170462051, 15.290999078695512, 15.290973000705504, 45.96920279525219, 11.7179035089614, 11.717908785349351, 11.71788655193012, 6.9974208167697665, 6.997424085048127, 6.99741217254752, 6.056511607905991, 6.056510964904852, 6.056511862715191, 6.044381311052265, 6.0443813012695, 6.0443812968244455, 6.0443776443660235, 6.044377644367498, 6.0443776448606545, 6.044377643327415, 6.044377643327415, 6.044377643327415]","[0.0007288521805402106, 0.06617299351574597, 0.1515270583213921, 0.2675460394681075, 0.43451058965513356, 0.6961280804548761, 0.8722900346975819, 1.0]","[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961, 0.0474982931824832, 0.181459085145811, 0.304593777430996, 0.458695016092851, 0.703160050716863, 0.853116161123574, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]"
6,1,18816.326109698486,0.020832101509522014,1,1619.674380464802,0.029034116766588403,6.044377643327503,0.9969997599952117,1.0073962738879172,True,<games.models.synTF.synTF object at 0x7f2a1a769ed0>,"[34.868628666563744, 34.868628666608664, 34.868628666608664, 34.868628666608664, 34.86862928330675, 34.86858995934608, 30.58842400585277, 30.588423986926365, 30.58842504483585, 27.259211689348696, 27.259211008138365, 27.259212082686123, 30.66674147306458, 29.352229842072713, 147.8029953257024, 26.318531013682197, 26.31853006726252, 26.31853149774924, 23.438893306255927, 23.43889143661249, 23.438894097561008, 18.655309166552474, 18.655305531411198, 18.655310356842225, 10.981144369182251, 10.98113841257261, 10.981145768384295, 6.292830309295234, 6.29283398133916, 6.292829701172253, 6.045403525080158, 6.045403732021724, 6.045403498551476, 6.044377666685823, 6.04437766767393, 6.0443776664714735, 6.044377643327503, 6.044377643327503, 6.044377643327503]","[0.0007288521225263633, 0.066172999576633, 0.15152707105636692, 0.2675460589119365, 0.4345106140003529, 0.6961281013072675, 0.8722900456235085, 1.0]","[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961, 0.0474982931824832, 0.181459085145811, 0.304593777430996, 0.458695016092851, 0.703160050716863, 0.853116161123574, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]"
7,1,30769.459494058934,0.04974200522810351,1,1619.6743555013463,0.029034116612816453,6.044377643329163,0.9969997599214825,1.007396273888194,True,<games.models.synTF.synTF object at 0x7f2a1a769330>,"[62.66319125362223, 62.66319125439357, 62.66319125439357, 62.66319125439357, 62.66319157476702, 62.663274749769684, 31.505975600971162, 31.505975600324188, 31.505987494041467, 7.233777252453251, 7.2337499962816905, 7.233776401712216, 6.061569296699959, 6.061566760857787, 6.06156915654976, 6.044383788310982, 6.044383742247289, 6.044383786592597, 6.044377643330463, 6.044377643395327, 6.044377643353966, 6.044377643329163, 6.044377643329163, 6.044377643329163]","[0.0007288521343205575, 0.06617299931180351, 0.15152707048968012, 0.26754605804152876, 0.43451061290727466, 0.6961281003691169, 0.8722900451313749, 1.0]","[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961, 0.0474982931824832, 0.181459085145811, 0.304593777430996, 0.458695016092851, 0.703160050716863, 0.853116161123574, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]"
8,1,182545.25729113442,0.034086135243857806,1,1619.674307760039,0.029034113334268967,6.044377643330626,0.9969997583494284,1.0073962738884377,True,<games.models.synTF.synTF object at 0x7f2a1a769450>,"[32.73758620706666, 32.73758620679185, 32.73758620679185, 32.73758620679185, 32.73758621757507, 32.73760767399333, 656.0420191023484, 32.62181504267127, 32.62181504795294, 32.621834274991635, 31.90292007994664, 31.902920089459517, 31.902935706566005, 31.20098199295526, 31.200981978415232, 31.200991505356416, 30.919547883066198, 30.91954788515199, 30.919552983131236, 30.766140817273246, 30.766140806625177, 30.766141916601097, 30.793917541492178, 29.89868726896351, 29.898687639380725, 29.898688030568692, 30.451256409398486, 6.340507913080975, 6.340494014466565, 6.340509790397308, 6.048743829820991, 6.048741867065312, 6.048744058430999, 6.0443782531453225, 6.0443782733905165, 6.044378246516285, 6.044377643566111, 6.0443776438083585, 6.044377643836528, 6.044377643330626, 6.044377643330626, 6.044377643330626]","[0.0007288521679237859, 0.06617299346245677, 0.1515270582239104, 0.267546039326573, 0.434510589482412, 0.6961280803090472, 0.8722900346209703, 1.0]","[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961, 0.0474982931824832, 0.181459085145811, 0.304593777430996, 0.458695016092851, 0.703160050716863, 0.853116161123574, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]"
9,1,1641.875787052164,0.046279789084236106,1,1619.6740069682714,0.02903412838830614,6.044377643340031,0.9969997655678221,1.007396273890005,True,<games.models.synTF.synTF object at 0x7f2a1a7695a0>,"[31.189629758208778, 31.189629758202965, 31.189629758202965, 31.189629758202965, 31.18963125588346, 31.189701265117424, 6.063924243406891, 6.0639236440831485, 6.063922781573829, 6.044392282416072, 6.044392273819897, 6.04439233046282, 6.044377658409749, 6.044377658424454, 6.044377656744419, 6.044377643340031, 6.044377643340031, 6.044377643340031]","[0.0007288522474598662, 0.06617302053931452, 0.1515271147429693, 0.2675461254310989, 0.43451069717416035, 0.696128172489993, 0.8722900829105259, 1.0]","[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961, 0.0474982931824832, 0.181459085145811, 0.304593777430996, 0.458695016092851, 0.703160050716863, 0.853116161123574, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]"
