,fixed m,fixed m ppl,fixed m all parameters
0,890.8208374999999,22.366,"[1, 890.82084, 0.03053]"
1,1052.7882625,13.147,"[1, 1052.78826, 0.02988]"
2,1214.7556875,8.775,"[1, 1214.75569, 0.02949]"
3,1376.7231125,6.811,"[1, 1376.72311, 0.02925]"
4,1619.67425,6.044,"[1, 1619.67425, 0.02903]"
5,1619.67425,6.044,"[1, 1619.67425, 0.02903]"
6,2105.576525,7.362,"[1, 2105.57652, 0.02886]"
7,2591.4788,9.527,"[1, 2591.4788, 0.02882]"
8,3077.381075,11.606,"[1, 3077.38108, 0.02882]"
9,3563.2833499999997,13.421,"[1, 3563.28335, 0.02883]"
10,4049.1856249999996,14.973,"[1, 4049.18562, 0.02885]"
11,4535.0878999999995,16.296,"[1, 4535.0879, 0.02887]"
