,b,m,w,x,exp_data,exp_error,chi_sq,normalized solutions
0,1,375.14296400274355,0.042093500000000006,"[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961, 0.0474982931824832, 0.181459085145811, 0.304593777430996, 0.458695016092851, 0.703160050716863, 0.853116161123574, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]",262.6205,"[0.002995376117905193, 0.09106545205613528, 0.19957098114888308, 0.3366430165106019, 0.5155162089949902, 0.759709045813819, 0.9038969554408708, 1.0]"
1,1,66505.88140916843,0.042093500000000006,"[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961, 0.0474982931824832, 0.181459085145811, 0.304593777430996, 0.458695016092851, 0.703160050716863, 0.853116161123574, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]",44.3347,"[1.694663917383666e-05, 0.08835011948097639, 0.19717980078564495, 0.3346613201920063, 0.5140688758522634, 0.7589912099286726, 0.9036098719828303, 1.0]"
2,1,737683.2063550821,0.042093500000000006,"[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961, 0.0474982931824832, 0.181459085145811, 0.304593777430996, 0.458695016092851, 0.703160050716863, 0.853116161123574, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]",45.3619,"[1.5278490009929296e-06, 0.08833606298317741, 0.19716741809634616, 0.3346510601109952, 0.514061381708024, 0.7589874984512719, 0.9036083583665543, 1.0]"
3,1,6879.24933333164,0.042093500000000006,"[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961, 0.0474982931824832, 0.181459085145811, 0.304593777430996, 0.458695016092851, 0.703160050716863, 0.853116161123574, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]",35.6645,"[0.0001638093909621012, 0.08848400913022546, 0.19729770446938738, 0.3347590286003945, 0.5141402405676015, 0.7590266065276169, 0.9036240058175488, 1.0]"
4,1,10748.89850219853,0.042093500000000006,"[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961, 0.0474982931824832, 0.181459085145811, 0.304593777430996, 0.458695016092851, 0.703160050716863, 0.853116161123574, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]",38.9034,"[0.00010484349553500374, 0.08843025117055002, 0.19725036098989396, 0.3347197941733168, 0.5141115780572412, 0.7590123810644022, 0.9036183081851725, 1.0]"
5,1,21413.572303928453,0.042093500000000006,"[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961, 0.0474982931824832, 0.181459085145811, 0.304593777430996, 0.458695016092851, 0.703160050716863, 0.853116161123574, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]",42.0426,"[5.263068351338595e-05, 0.08838265118675614, 0.19720844399309162, 0.3346850564116532, 0.5140862115894791, 0.7589998101297132, 0.903613296914905, 1.0]"
6,1,13.626700384805803,0.042093500000000006,"[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961, 0.0474982931824832, 0.181459085145811, 0.304593777430996, 0.458695016092851, 0.703160050716863, 0.853116161123574, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]",267605.5485,"[0.07639201548083525, 0.1579786261968714, 0.2584962851454585, 0.38547746468310384, 0.5511825323197526, 0.7773985866752853, 0.9109717893154964, 1.0]"
7,1,72559.58634527463,0.042093500000000006,"[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961, 0.0474982931824832, 0.181459085145811, 0.304593777430996, 0.458695016092851, 0.703160050716863, 0.853116161123574, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]",44.4279,"[1.553278925728817e-05, 0.08834883060111395, 0.19717866474998594, 0.3346603687949959, 0.5140681838350943, 0.7589908711840799, 0.9036097313437182, 1.0]"
8,1,11.128784002742165,0.042093500000000006,"[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961, 0.0474982931824832, 0.181459085145811, 0.304593777430996, 0.458695016092851, 0.703160050716863, 0.853116161123574, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]",389049.9337,"[0.09196178756102807, 0.1721730434017107, 0.2709962229450213, 0.3958368098291751, 0.5587484883782581, 0.7811511028372385, 0.9124725750120833, 1.0]"
9,1,155.57781657310002,0.042093500000000006,"[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961, 0.0474982931824832, 0.181459085145811, 0.304593777430996, 0.458695016092851, 0.703160050716863, 0.853116161123574, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]",1977.5186,"[0.007192310804839978, 0.09489164885066365, 0.20294041808899071, 0.3394354362827695, 0.5175556542309722, 0.7607205311538295, 0.904301488599263, 1.0]"
