,b,m,w,b*,m*,w*,chi_sq,r_sq,redchi_sq,success,model,chi_sq_list,Simulation results,x,exp_data,exp_error
0,1,1594.3399669045284,0.042093500000000006,1,1559.8710051560925,0.042093500000000006,21.102952283693497,0.9963028731246565,3.0147074690990716,True,<games.models.synTF.synTF object at 0x7f2a46b8ac20>,"[21.114323805110338, 21.1143238051247, 21.1143238051247, 21.1143238051247, 21.114324410194804, 21.102955601081284, 21.102955590169962, 21.102952293503186, 21.1029522940205, 21.102952283693497, 21.102952283693497, 21.102952283693497]","[0.000722018999303362, 0.08899290948463012, 0.19774585206601303, 0.335130436741391, 0.5144114951071477, 0.7591611331759119, 0.9036777961506295, 1.0]","[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961, 0.0474982931824832, 0.181459085145811, 0.304593777430996, 0.458695016092851, 0.703160050716863, 0.853116161123574, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]"
1,1,1754.4932685996976,0.042093500000000006,1,1559.865534099339,0.042093500000000006,21.10295228370521,0.9963028731250586,3.014707469100745,True,<games.models.synTF.synTF object at 0x7f2a46b89750>,"[21.40234353225531, 21.402343532415642, 21.402343532415642, 21.402343532415642, 21.402346215674704, 21.106056648377457, 21.106056315880895, 21.102952616846153, 21.102952614180982, 21.10295228370521, 21.10295228370521, 21.10295228370521]","[0.0007220215298770503, 0.08899291179165807, 0.19774585409762407, 0.33513043842512186, 0.5144114963355643, 0.7591611337924647, 0.9036777963707542, 1.0]","[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961, 0.0474982931824832, 0.181459085145811, 0.304593777430996, 0.458695016092851, 0.703160050716863, 0.853116161123574, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]"
2,1,1267.440430855257,0.042093500000000006,1,1559.866117000612,0.042093500000000006,21.102952283763123,0.996302873124875,3.0147074691090174,True,<games.models.synTF.synTF object at 0x7f2a46b89630>,"[22.397526844028604, 22.397526844042908, 22.397526844042908, 22.397526844042908, 22.397517686675492, 21.123109444085888, 21.123108574055017, 21.10296082692303, 21.1029608100197, 21.102952283763123, 21.10295228342102, 21.102952287050773, 21.102952283763123, 21.102952283763123]","[0.0007220212602620545, 0.08899291154586693, 0.19774585388118493, 0.33513043824563, 0.5144114962058306, 0.7591611337253541, 0.9036777963529223, 1.0]","[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961, 0.0474982931824832, 0.181459085145811, 0.304593777430996, 0.458695016092851, 0.703160050716863, 0.853116161123574, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]"
3,1,3443.5095863112697,0.042093500000000006,1,1559.8639716796956,0.042093500000000006,21.102952283937416,0.9963028731249999,3.0147074691339166,True,<games.models.synTF.synTF object at 0x7f2a46b8a9e0>,"[28.387792569822786, 28.387792569819272, 28.387792569819272, 28.387792569819272, 28.38779728113901, 107.43251427156575, 26.87527752378792, 26.87528260123808, 24.208617483199117, 24.20862274730425, 21.210485331193734, 21.2104870636881, 21.103290149629615, 21.103290041038246, 21.102952283937416, 21.102952283639354, 21.102952285400022, 21.102952283937416, 21.102952283937416]","[0.0007220222525593275, 0.08899291245049773, 0.1977458546778071, 0.33513043890593625, 0.5144114966879556, 0.7591611339703486, 0.9036777964345688, 1.0]","[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961, 0.0474982931824832, 0.181459085145811, 0.304593777430996, 0.458695016092851, 0.703160050716863, 0.853116161123574, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]"
4,1,3115.1130017904457,0.042093500000000006,1,1559.8785893053293,0.042093500000000006,21.102952284937178,0.9963028731233134,3.0147074692767397,True,<games.models.synTF.synTF object at 0x7f2a46b8aaa0>,"[27.170958827119982, 27.170958826022087, 27.170958826022087, 27.170958826022087, 27.17096384188119, 44.952558855719836, 24.623937537366334, 24.623942836324176, 21.423151089288098, 21.42315384649687, 21.106568669533306, 21.106568310198824, 21.102952696782175, 21.10295269340524, 21.102952284937178, 21.102952284937178, 21.102952284937178]","[0.0007220154913722727, 0.08899290628653644, 0.19774584924965008, 0.3351304344077557, 0.5144114934023044, 0.7591611323302758, 0.9036777958652336, 1.0]","[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961, 0.0474982931824832, 0.181459085145811, 0.304593777430996, 0.458695016092851, 0.703160050716863, 0.853116161123574, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]"
5,1,2641.512535551523,0.042093500000000006,1,1559.8564359813536,0.042093500000000006,21.102952285209163,0.9963028731256223,3.014707469315595,True,<games.models.synTF.synTF object at 0x7f2a46b89db0>,"[25.184293508057312, 25.18429350812476, 25.18429350812476, 25.18429350812476, 25.184298807162914, 24.679705240766577, 24.67968705559753, 22.06939328425423, 22.069385679181796, 21.115140481372435, 21.11513981150923, 21.10295571515374, 21.10295570405714, 21.102952293435337, 21.102952294220547, 21.102952285209163, 21.102952285209163, 21.102952285209163]","[0.0007220257381452631, 0.08899291562820646, 0.19774585747620013, 0.3351304412249343, 0.5144114983818593, 0.7591611348166821, 0.9036777967362457, 1.0]","[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961, 0.0474982931824832, 0.181459085145811, 0.304593777430996, 0.458695016092851, 0.703160050716863, 0.853116161123574, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]"
6,1,1400.602511902105,0.042093500000000006,1,1559.8507388743615,0.042093500000000006,21.102952285937263,0.9963028731280076,3.0147074694196094,True,<games.models.synTF.synTF object at 0x7f2a46b89600>,"[21.417465031904847, 21.417465040237346, 21.417465040237346, 21.417465040237346, 21.41746115603231, 21.10449649141421, 21.10449625855581, 21.102952496325422, 21.102952494857917, 21.102952285937263, 21.102952286167255, 21.102952292064085, 21.102952285937263, 21.102952285937263]","[0.0007220283733256414, 0.08899291803062583, 0.19774585959184943, 0.335130442977934, 0.5144114996624942, 0.759161135408929, 0.903677796965589, 1.0]","[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961, 0.0474982931824832, 0.181459085145811, 0.304593777430996, 0.458695016092851, 0.703160050716863, 0.853116161123574, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]"
7,1,1025.932898698875,0.042093500000000006,1,1559.8857916587967,0.042093500000000006,21.10295228677482,0.9963028731230037,3.01470746953926,True,<games.models.synTF.synTF object at 0x7f2a46b8a770>,"[27.687106612234164, 27.68710661067379, 27.68710661067379, 27.68710661067379, 27.687078136214968, 21.388754718621655, 21.3887510542037, 21.104347987868888, 21.10434776624323, 21.102952329559393, 21.102952327965944, 21.10295228677482, 21.10295228677482, 21.10295228677482]","[0.0007220121600668183, 0.08899290324950962, 0.19774584657518504, 0.3351304321915326, 0.5144114917835448, 0.7591611315134328, 0.903677795578195, 1.0]","[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961, 0.0474982931824832, 0.181459085145811, 0.304593777430996, 0.458695016092851, 0.703160050716863, 0.853116161123574, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]"
8,1,2383.745140353434,0.042093500000000006,1,1559.8902255745345,0.042093500000000006,21.102952288835265,0.9963028731219362,3.01470746983361,True,<games.models.synTF.synTF object at 0x7f2a46b898a0>,"[24.01034585594863, 24.010345855874228, 24.010345855874228, 24.010345855874228, 24.01035109045182, 22.157441040320908, 22.157432784741257, 21.112407237257028, 21.112406649007855, 21.102954178845117, 21.10295417080098, 21.102952288835265, 21.102952288835265, 21.102952288835265]","[0.0007220101092623043, 0.08899290137984342, 0.19774584492868832, 0.3351304308273027, 0.5144114907868699, 0.7591611310295462, 0.9036777954056294, 1.0]","[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961, 0.0474982931824832, 0.181459085145811, 0.304593777430996, 0.458695016092851, 0.703160050716863, 0.853116161123574, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]"
9,1,2074.3878674570756,0.042093500000000006,1,1559.840556881933,0.042093500000000006,21.10295229035338,0.9963028731294515,3.014707470050482,True,<games.models.synTF.synTF object at 0x7f2a46b8ad10>,"[22.600083581813205, 22.600083581712376, 22.600083581712376, 22.600083581712376, 22.60008822808799, 21.2519636919436, 21.25196115190875, 21.103355871883444, 21.103355753531694, 21.10295229035338, 21.102952290403177, 21.102952291897807, 21.10295229035338, 21.10295229035338]","[0.0007220330830246149, 0.08899292232431107, 0.19774586337299055, 0.3351304461113298, 0.5144115019512138, 0.7591611365518804, 0.9036777973508964, 1.0]","[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961, 0.0474982931824832, 0.181459085145811, 0.304593777430996, 0.458695016092851, 0.703160050716863, 0.853116161123574, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]"
