,fixed m,fixed m ppl,fixed m all parameters
0,270.69007137499995,7.228,"[14.92779, 1, 1, 270.69007, 92.86318, 1.93625]"
1,278.00601924999995,6.749,"[14.94052, 1, 1, 278.00602, 93.33897, 1.94096]"
2,292.63791499999996,5.886,"[14.9636, 1, 1, 292.63791, 94.29699, 1.94983]"
3,307.26981075,5.137,"[14.98458, 1, 1, 307.26981, 95.10435, 1.95819]"
4,321.9017065,4.484,"[15.00473, 1, 1, 321.90171, 95.9522, 1.96608]"
5,351.165498,3.421,"[15.04058, 1, 1, 351.1655, 97.47158, 1.97942]"
6,380.42928950000004,2.616,"[15.07199, 1, 1, 380.42929, 98.81419, 1.99109]"
7,409.69308100000006,2.012,"[15.10232, 1, 1, 409.69308, 100.00264, 2.00206]"
8,468.22066400000006,1.244,"[15.15568, 1, 1, 468.22066, 101.98885, 2.01831]"
9,585.27583,0.784,"[15.22349, 1, 1, 585.27583, 105.02814, 2.03687]"
10,585.27583,0.784,"[15.22349, 1, 1, 585.27583, 105.02814, 2.03687]"
11,936.4413280000001,2.129,"[15.24082, 1, 1, 936.44133, 107.9148, 1.98726]"
12,1287.6068260000002,3.511,"[15.21641, 1, 1, 1287.60683, 107.31219, 1.91946]"
13,1638.7723240000003,4.389,"[15.17886, 1, 1, 1638.77232, 106.55814, 1.88074]"
14,1989.9378220000003,4.973,"[15.165, 1, 1, 1989.93782, 105.99863, 1.85841]"
15,2341.10332,5.385,"[15.15604, 1, 1, 2341.10332, 105.61812, 1.84342]"
16,2692.268818,5.691,"[15.1452, 1, 1, 2692.26882, 105.38665, 1.83299]"
17,3043.434316,5.927,"[15.14133, 1, 1, 3043.43432, 105.17874, 1.82522]"
18,3394.5998139999997,6.115,"[15.13456, 1, 1, 3394.59981, 104.99779, 1.81957]"
19,3745.7653119999995,6.267,"[15.13322, 1, 1, 3745.76531, 104.87044, 1.81494]"
20,4096.93081,6.393,"[15.13137, 1, 1, 4096.93081, 104.7745, 1.81106]"
21,4448.096308,6.5,"[15.12569, 1, 1, 4448.09631, 104.67736, 1.8076]"
22,4799.261806,6.591,"[15.12461, 1, 1, 4799.26181, 104.59145, 1.80518]"
23,5150.427304000001,6.669,"[15.12404, 1, 1, 5150.4273, 104.53208, 1.80267]"
24,5501.592802000001,6.738,"[15.1184, 1, 1, 5501.5928, 104.48007, 1.80053]"
25,5852.758300000001,6.798,"[15.12127, 1, 1, 5852.7583, 104.43698, 1.79904]"
26,6203.923798000002,6.851,"[15.11929, 1, 1, 6203.9238, 104.31428, 1.7977]"
27,6555.089296000002,6.899,"[15.11759, 1, 1, 6555.0893, 104.33824, 1.79612]"
28,6906.254794000002,6.942,"[15.11935, 1, 1, 6906.25479, 104.29574, 1.7949]"
29,7257.4202920000025,6.98,"[15.11586, 1, 1, 7257.42029, 104.25503, 1.79333]"
