,fixed n,fixed n ppl,fixed n all parameters
0,1.6600490499999998,7.715,"[14.82956, 1, 1, 934.42026, 102.14724, 1.66005]"
1,1.6804177499999997,6.871,"[14.85318, 1, 1, 858.36303, 102.30461, 1.68042]"
2,1.7058786249999998,5.912,"[14.87561, 1, 1, 790.61331, 102.55927, 1.70588]"
3,1.7313394999999998,5.055,"[14.90434, 1, 1, 738.0645, 102.72534, 1.73134]"
4,1.7568003749999999,4.292,"[14.92952, 1, 1, 698.86406, 102.97531, 1.7568]"
5,1.78226125,3.619,"[14.95524, 1, 1, 668.2694, 103.18416, 1.78226]"
6,1.833183,2.52,"[15.00861, 1, 1, 626.80028, 103.59417, 1.83318]"
7,1.9350265,1.182,"[15.11505, 1, 1, 588.39468, 104.34978, 1.93503]"
8,2.03687,0.784,"[15.22349, 1, 1, 585.27583, 105.02814, 2.03687]"
9,2.03687,0.784,"[15.22349, 1, 1, 585.27583, 105.02814, 2.03687]"
10,2.240557,2.044,"[15.41452, 1, 1, 639.90683, 106.0688, 2.24056]"
11,2.3424005,3.415,"[15.50773, 1, 1, 690.12816, 106.46951, 2.3424]"
12,2.39332225,4.238,"[15.55236, 1, 1, 720.16924, 106.62416, 2.39332]"
13,2.4442440000000003,5.138,"[15.59674, 1, 1, 753.71621, 106.75792, 2.44424]"
14,2.4951657500000004,6.105,"[15.6403, 1, 1, 791.17027, 106.87854, 2.49517]"
15,2.5460875000000005,7.131,"[15.68265, 1, 1, 832.0694, 106.97402, 2.54609]"
